index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,泸水市片马广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,泸水市片马广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,泸水市片马广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,泸水市片马广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,泸水市片马广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,泸水市片马广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,482, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,泸水市片马广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,482, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,泸水市片马广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,498, , ,中央电视台军事农业频道,AVS+,DRA,开锁,512,650,泸水市片马广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,498, , ,中央电视台记录频道,AVS+,DRA,开锁,513,660,泸水市片马广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,498, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,泸水市片马广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,498, , ,中国环球电视网英语新闻频道,AVS+,DRA,开锁,515,680,泸水市片马广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,778, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,泸水市广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,778, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,泸水市广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,778, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,泸水市广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,778, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,泸水市广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,778, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,泸水市广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,778, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,泸水市广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,778, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,泸水市广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,778, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,泸水市广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,498, , ,中央电视台军事农业频道,AVS+,DRA,开锁,512,650,泸水市广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,498, , ,中央电视台记录频道,AVS+,DRA,开锁,513,660,泸水市广播电视发射台, ,zhtq625 2017-07-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
