index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187,垂直, ,盘山新闻综合,AVS+,DRA,开锁,34,35,盘山广电塔, ,偏执 2021-04-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,187,垂直, ,盘山生活,AVS+,DRA,开锁,50,51,盘山广电塔, ,偏执 2021-04-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,490,垂直, ,大洼一套,AVS+,DRA, , , , , ,偏执 2021-04-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,490,垂直, ,大洼二套,AVS+,DRA, , , , , ,偏执 2021-04-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,506,垂直, ,辽宁卫视,AVS+,DRA,开锁,257,258,盘山广电塔, ,偏执 2021-04-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,506,垂直, ,辽宁都市,AVS+,DRA,开锁,260,261,盘山广电塔, ,偏执 2021-04-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,506,垂直, ,辽宁影视剧,AVS+,DRA,开锁,513,514,盘山广电塔, ,偏执 2021-04-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,506,垂直, ,宜佳购物,AVS+,DRA,开锁,516,517,盘山广电塔, ,偏执 2021-04-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,506,垂直, ,辽宁体育,AVS+,DRA,开锁,769,770,盘山广电塔, ,偏执 2021-04-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,506,垂直, ,辽宁生活,AVS+,DRA,开锁,772,773,盘山广电塔, ,偏执 2021-04-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,506,垂直, ,辽宁北方,AVS+,DRA,开锁,1025,1026,盘山广电塔, ,偏执 2021-04-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,506,垂直, ,辽宁教育青少,AVS+,DRA,开锁,1028,1029,盘山广电塔, ,偏执 2021-04-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,514,垂直,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,盘锦广电塔, ,盘锦jjzone 2022-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,514,垂直,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,盘锦广电塔, ,盘锦jjzone 2022-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,514,垂直,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,盘锦广电塔, ,盘锦jjzone 2022-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,514,垂直,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,盘锦广电塔, ,盘锦jjzone 2022-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,514,垂直,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,盘锦广电塔, ,盘锦jjzone 2022-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,514,垂直,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,盘锦广电塔, ,盘锦jjzone 2022-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,514,垂直,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,盘锦广电塔, ,盘锦jjzone 2022-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,514,垂直,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,盘锦广电塔, ,盘锦jjzone 2022-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
