index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498, , ,中央电视台综合频道,AVS+,DRA,NDS,512,650, , ,新乡原阳 2018-11-25, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,498, , ,中央电视台经济频道,AVS+,DRA,NDS,513,660, , ,新乡原阳 2018-11-25, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,498, , ,中央电视台中文国际频道,AVS+,DRA,NDS,514,670, , ,新乡原阳 2018-11-25, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498, , ,中央电视台科教频道,AVS+,DRA,NDS,515,680, , ,新乡原阳 2018-11-25, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,498, , ,中央电视台社会与法频道,AVS+,DRA,NDS,516,690, , ,新乡原阳 2018-11-25, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,498, , ,[中央电视台新闻频道](http://www.thmz.com/),AVS+,DRA,NDS,517,700, , ,新乡原阳 2018-11-25, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,498, , ,中央电视台少儿频道,AVS+,DRA,NDS,518,710, , ,新乡原阳 2018-11-25, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,498, , ,中央电视台音乐频道,AVS+,DRA,NDS,519,720, , ,新乡原阳 2018-11-25, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,618, , ,[中央电视台综合频道](http://www.thmz.com/), , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,618, , ,中央电视台经济频道, , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,618, , ,[中央电视台综艺频道](http://www.thmz.com/), , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,618, , ,[中央电视台体育频道](http://www.thmz.com/), , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,618, , ,中央电视台电影频道, , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,618, , ,[中央电视台军事农业频道](http://www.thmz.com/), , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,618, , ,中央电视台电视剧频道, , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,618, , ,中央电视台纪录频道, , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,618, , ,中央电视台新闻频道, , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,618, , ,中央电视台少儿频道, , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,674, , ,四川卫视, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,674, , ,四川2套, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,674, , ,四川3套, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,674, , ,四川4套, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,674, , ,四川5套, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,674, , ,峨眉电影, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,674, , ,凉山新闻, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,674, , ,凉山公共, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,674, , ,会理新闻, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,674, , ,会理公共, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,682, , ,中央电视台军事农业频道,AVS+,DRA, , , , , ,新乡原阳 2018-11-25, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,682, , ,中央电视台纪录频道,AVS+,DRA, , , , , ,新乡原阳 2018-11-25, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,682, , ,中央电视台戏曲频道,AVS+,DRA, , , , , ,新乡原阳 2018-11-25, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,682, , ,中国环球电视网新闻频道,AVS+,DRA, , , , , ,新乡原阳 2018-11-25, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,682, , ,四川卫视,AVS+,DRA, , , , , ,新乡原阳 2018-11-25, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,682, , ,康巴卫视,AVS+,DRA, , , , , ,新乡原阳 2018-11-25, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,754, , ,[中央电视台综合频道](http://www.thmz.com/), , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,754, , ,中央电视台经济频道, , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,754, , ,[中央电视台综艺频道](http://www.thmz.com/), , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,754, , ,[中央电视台体育频道](http://www.thmz.com/), , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,754, , ,中央电视台电影频道, , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,754, , ,[中央电视台军事农业频道](http://www.thmz.com/), , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,754, , ,中央电视台电视剧频道, , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,754, , ,中央电视台纪录频道, , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,754, , ,中央电视台新闻频道, , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,754, , ,中央电视台少儿频道, , ,开锁, , , , ,cdmajianhua 2016-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,770, , ,四川5套, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,770, , ,四川4套, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
46,770, , ,攀枝花公共, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
47,770, , ,米易综合, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
48,770, , ,攀枝花新闻综合, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,770, , ,四川科教, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
50,770, , ,仁和电视台, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
51,770, , ,四川公共, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
52,770, , ,四川卫视, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
53,770, , ,盐边电视台, , ,开锁, , , , ,cdmajianhua 2016-12-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
