index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, , ,【预备频道】,AVS+,MPEG-1,开锁, , ,鲁山县, ,王志 2021-12-16,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,171, , ,【预备频道】,AVS+,MPEG-1,开锁, , ,鲁山县, ,王志 2021-12-16,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,171, , ,【预备频道】,AVS+,MPEG-1,开锁, , ,鲁山县, ,王志 2021-12-16,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,171, , ,【预备频道】,AVS+,MPEG-1,开锁, , ,鲁山县, ,王志 2021-12-16,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,179, ,2005,导视,HEVC, , ,50,51,宝丰, ,王志 2022-10-18,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,195, ,1001,四海钓鱼,HEVC, , ,34,35,宝丰, ,王志 2022-10-18,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,195, ,1005,河南卫视,HEVC, , ,50,51,宝丰, ,王志 2022-10-18,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,195, ,1007,平顶山城市频道,HEVC, , ,58,59,宝丰, ,王志 2022-10-18,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,195, ,1008,中央电视台综合高清频道,HEVC, , ,62,63,宝丰, ,王志 2022-10-18,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,482, , ,中央电视台综合频道,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,482, , ,中央电视台财经频道,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,482, , ,中央电视台中文国际频道,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,482, , ,中央电视台科教频道,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,482, , ,中央电视台戏曲频道,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,482, , ,中央电视台新闻频道,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,482, , ,中央电视台少儿频道,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,482, , ,中央电视台农业农村频道,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,482, , ,河南卫视,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,482, , ,河南都市,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,482, , ,郏县综合,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,482, , ,地方戏曲,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,482, , ,河南新农村,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,482, , ,中央电视台国防军事频道,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,482, , ,平顶山综合,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,490, , ,中央电视台综艺频道,HEVC,MPEG-1, ,1241,1242,郏县, ,王志 2023-09-12,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,490, , ,中央电视台体育频道,HEVC,MPEG-1, ,1251,1252,郏县, ,王志 2023-09-12,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,490, , ,中央电视台电影频道,HEVC,MPEG-1, ,1301,1302,郏县, ,王志 2023-09-12,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,490, , ,中央电视台电视剧频道,HEVC,MPEG-1, ,1311,1312,郏县, ,王志 2023-09-12,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,490, , ,中央电视台纪录频道,HEVC,MPEG-1, ,1321,1322,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,490, , ,中央电视台社会语法高清频道,HEVC,MPEG-1, ,1331,1332,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,490, , ,中央电视台音乐频道,HEVC,MPEG-1, ,1341,1342,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,490, , ,中国教育电视一套,HEVC,MPEG-1, ,1351,1352,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,490, , ,深圳卫视高清频道,HEVC,MPEG-1, ,1441,1442,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,490, , ,福建东南卫视高清频道,HEVC,MPEG-1, ,1451,1452,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,490, , ,湖北卫视高清频道,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,490, , ,江苏卫视高清频道,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,490, , ,山东卫视高清频道,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,490, , ,四川卫视高清频道,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,490, , ,重庆卫视高清频道,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#6666FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,506, , ,上海东方卫视,HEVC,MPEG-1, , , ,郏县, ,王志 2023-09-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
