index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,514, , ,普洱电视一台,MPEG-2,MPEG-1,开锁, , ,澜沧拉祜族自治县, ,BDK01 2021-01-04, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,514, , ,普洱电视二台,MPEG-2,MPEG-1,开锁, , ,澜沧拉祜族自治县, ,BDK01 2021-01-04, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,514, , ,云南卫视,MPEG-2,MPEG-1,开锁, , ,澜沧拉祜族自治县, ,BDK01 2021-01-04, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,514, , ,澜沧电视台,MPEG-2,MPEG-1,开锁, , ,澜沧拉祜族自治县, ,BDK01 2021-01-04, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,522, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA, , , ,澜沧拉祜族自治县, ,BDK01 2020-12-29, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,522, , ,中央电视台经济频道,AVS+,DRA, , , ,澜沧拉祜族自治县, ,BDK01 2020-12-29, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,522, , ,中央电视台中文国际频道,AVS+,DRA, , , ,澜沧拉祜族自治县, ,BDK01 2020-12-29, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,522, , ,中央电视台科教频道,AVS+,DRA, , , ,澜沧拉祜族自治县, ,BDK01 2020-12-29, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,522, , ,中央电视台社会与法频道,AVS+,DRA, , , ,澜沧拉祜族自治县, ,BDK01 2020-12-29, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,522, , ,中央电视台新闻频道,AVS+,DRA, , , ,澜沧拉祜族自治县, ,BDK01 2020-12-29, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,522, , ,[中央电视台少儿频道](http://www.thmz.com/),AVS+,DRA, , , ,澜沧拉祜族自治县, ,BDK01 2020-12-29, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,522, , ,中央电视台音乐频道,AVS+,DRA, , , ,澜沧拉祜族自治县, ,BDK01 2020-12-29, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,554, , ,中央电视台农业农村频道,AVS+,DRA, , , ,澜沧拉祜族自治县, ,BDK01 2020-12-29, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,554, , ,中央电视台纪录频道,AVS+,DRA, , , ,澜沧拉祜族自治县, ,BDK01 2020-12-29, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,554, , ,中央电视台戏曲频道,AVS+,DRA, , , ,澜沧拉祜族自治县, ,BDK01 2020-12-29, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,554, , ,中国环球电视网新闻频道,AVS+,DRA, , , ,澜沧拉祜族自治县, ,BDK01 2020-12-29, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,562, , ,普洱一台,MPEG-2,MPEG-1,开锁, , ,思茅, ,刘学文 2022-02-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,562, , ,普洱二台,MPEG-2,MPEG-1,开锁, , ,思茅, ,刘学文 2022-02-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,562, , ,普洱三台,MPEG-2,MPEG-1,开锁, , ,思茅, ,刘学文 2022-02-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,562, , ,思茅电视台,MPEG-2,MPEG-1,开锁, , ,思茅, ,刘学文 2022-02-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,562, , ,数字电视一,MPEG-2,MPEG-1,开锁, , ,思茅, ,刘学文 2022-02-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,562, , ,数字电视二,MPEG-2,MPEG-1,开锁, , ,思茅, ,刘学文 2022-02-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,562, , ,数字电视三,MPEG-2,MPEG-1,开锁, , ,思茅, ,刘学文 2022-02-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
