index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,554,水平,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,554,水平,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,554,水平,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,554,水平,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,554,水平,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,554,水平,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,554,水平,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,554,水平,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,554,水平,101,中国之声, ,MPEG-1,开锁, ,730,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,554,水平,102,经济之声, ,MPEG-1,开锁, ,740,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,554,水平,103,音乐之声, ,MPEG-1,开锁, ,750,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,554,水平,104,经典音乐广播, ,MPEG-1,开锁, ,760,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,554,水平,105,台海之声, ,MPEG-1,开锁, ,770,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,554,水平,106,神州之声, ,MPEG-1,开锁, ,780,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,554,水平,108,民族之声, ,MPEG-1,开锁, ,790,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,554,水平,109,文艺之声, ,MPEG-1,开锁, ,800,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,554,水平,110,老年之声, ,MPEG-1,开锁, ,810,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,554,水平,112,阅读之声, ,MPEG-1,开锁, ,820,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,554,水平,115,中国交通广播, ,MPEG-1,开锁, ,830,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,554,水平,116,中国乡村之声, ,MPEG-1,开锁, ,840,壶公山发射台 九华山, ,清扬 2024-02-10 chj75180,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,634, ,501,福建综合,AVS+,DRA,开锁,511,51,壶公山发射台 九华山,64QAM 3/5(0.6),聆听76772 2024-02-10 chj75180,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,634, ,502,福建东南卫视,AVS+,DRA,开锁,521,522,壶公山发射台 九华山,64QAM 3/5(0.6),聆听76772 2024-02-10 chj75180,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,634, ,503,莆田一套,AVS+,DRA,开锁,531,532,壶公山发射台 九华山,64QAM 3/5(0.6),聆听76772 2024-02-10 chj75180,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,634, ,504,莆田二套,AVS+,DRA,开锁,541,542,壶公山发射台 九华山,64QAM 3/5(0.6),聆听76772 2024-02-10 chj75180,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
