index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,台前, ,shengtv 2019-02-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,506, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,台前, ,shengtv 2019-02-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,506, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,台前, ,shengtv 2019-02-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,506, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,台前, ,shengtv 2019-02-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,506, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,台前, ,shengtv 2019-02-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,506, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,台前, ,shengtv 2019-02-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,506, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,台前, ,shengtv 2019-02-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,506, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,台前, ,shengtv 2019-02-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,506,水平, ,中央电视台综合频道（河南卫视）,AVS+,MPEG-1,开锁,34,35,濮阳县,64QAM PN420 3/5(0.6),qianying818 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,506,水平, ,中央电视台财经频道,AVS+,MPEG-1,开锁,37,38,濮阳县,64QAM PN420 3/5(0.6),qianying818 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,506,水平, ,中央电视台中文国际频道,AVS+,MPEG-1,开锁,40,41,濮阳县,64QAM PN420 3/5(0.6),qianying818 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,506,水平, ,[中央电视台国防军事频道](http://www.cctv.com),AVS+,MPEG-1,开锁,43,44,濮阳县,64QAM PN420 3/5(0.6),qianying818 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,506,水平, ,中央电视台科教频道,AVS+,MPEG-1,开锁,47,48,濮阳县,64QAM PN420 3/5(0.6),qianying818 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,506,水平, ,中央电视台戏曲频道,AVS+,MPEG-1,开锁,50,51,濮阳县,64QAM PN420 3/5(0.6),qianying818 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,506,水平, ,中央电视台社会与法频道,AVS+,MPEG-1,开锁,53,54,濮阳县,64QAM PN420 3/5(0.6),qianying818 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,506,水平, ,中央电视台新闻频道,AVS+,MPEG-1,开锁,57,58,濮阳县,64QAM PN420 3/5(0.6),qianying818 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,506,水平, ,中央电视台少儿频道,AVS+,MPEG-1,开锁,60,61,濮阳县,64QAM PN420 3/5(0.6),qianying818 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,506,水平, ,中央电视台音乐频道,AVS+,MPEG-1,开锁,63,64,濮阳县,64QAM PN420 3/5(0.6),qianying818 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,506,水平, ,中央电视台农业农村频道,AVS+,MPEG-1,开锁,66,67,濮阳县,64QAM PN420 3/5(0.6),qianying818 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,506,水平, ,中国教育电视一台,AVS+,MPEG-1,开锁,69,70,濮阳县,64QAM PN420 3/5(0.6),qianying818 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,514,水平, ,河南都市,MPEG-2,MPEG-2,锁码,787,785,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,514,水平, ,河南电视剧,MPEG-2,MPEG-2,锁码,803,801,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,514,水平, ,河南公共,MPEG-2,MPEG-2,锁码,819,817,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,514,水平, ,家家购物,MPEG-2,MPEG-2,锁码,835,833,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,514,水平, ,家有购物,MPEG-2,MPEG-1,锁码,831,829,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,514,水平, ,河北卫视,MPEG-2,MPEG-2,锁码,867,865,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,514,水平, ,湖南卫视,MPEG-2,MPEG-2,锁码,883,881,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,514,水平, ,山东卫视,MPEG-2,MPEG-2,锁码,899,897,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,514,水平, ,浙江卫视,MPEG-2,MPEG-2,锁码,915,13,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,514,水平, ,江苏卫视,MPEG-2,MPEG-1,锁码,931,929,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,514, , ,浙江卫视,AVS+,MPEG-1,开锁,1539,1540,台前, ,zhaichuan hxin 2018-02-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,514, , ,上海东方卫视,AVS+,MPEG-1,开锁,1555,1556,台前, ,zhaichuan hxin 2018-02-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,514, , ,江苏卫视,AVS+,MPEG-1,开锁,1571,1572,台前, ,zhaichuan hxin 2018-02-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,514, , ,北京卫视,AVS+,MPEG-1,开锁,1587,1588,台前, ,zhaichuan hxin 2018-02-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,514, , ,安徽卫视,AVS+,MPEG-1,开锁,1603,1604,台前, ,zhaichuan hxin 2018-02-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,522,垂直,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,522,垂直,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,522,垂直,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,522,垂直,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,522,垂直,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,522,垂直,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,522,垂直,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,522,垂直,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,522,垂直,101,中国之声, ,MPEG-1,开锁, ,730,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,522,垂直,102,经济之声, ,MPEG-1,开锁, ,740,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,522,垂直,103,音乐之声, ,MPEG-1,开锁, ,750,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
46,522,垂直,104,经典音乐广播, ,MPEG-1,开锁, ,760,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
47,522,垂直,105,台海之声, ,MPEG-1,开锁, ,770,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
48,522,垂直,106,神州之声, ,MPEG-1,开锁, ,780,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,522,垂直,108,民族之声, ,MPEG-1,开锁, ,790,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
50,522,垂直,109,文艺之声, ,MPEG-1,开锁, ,800,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
51,522,垂直,110,老年之声, ,MPEG-1,开锁, ,810,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
52,522,垂直,112,阅读之声, ,MPEG-1,开锁, ,820,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
53,522,垂直,115,中国交通广播, ,MPEG-1,开锁, ,830,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
54,522,垂直,116,中国乡村之声, ,MPEG-1,开锁, ,840,濮阳, ,zhaichuanhxin 2023-10-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
55,530,水平, ,河南卫视,AVS+,MPEG-1,开锁,34,35,濮阳县,64QAM PN420 3/5(0.6),1593388 9356 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
56,530,水平, ,濮阳综合,AVS+,MPEG-1,开锁,38,39,濮阳县,64QAM PN420 3/5(0.6),1593388 9356 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
57,530,水平, ,濮阳县电视台,AVS+,MPEG-1,开锁,41,42,濮阳县,64QAM PN420 3/5(0.6),1593388 9356 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
58,530,水平, ,北京卫视,AVS+,MPEG-1,开锁,44,45,濮阳县,64QAM PN420 3/5(0.6),1593388 9356 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
59,530,水平, ,上海东方卫视,AVS+,MPEG-1,开锁,47,48,濮阳县,64QAM PN420 3/5(0.6),1593388 9356 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
60,530,水平, ,浙江卫视,AVS+,MPEG-1,开锁,50,51,濮阳县,64QAM PN420 3/5(0.6),1593388 9356 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
61,530,水平, ,山西卫视,AVS+,MPEG-1,开锁,54,55,濮阳县,64QAM PN420 3/5(0.6),1593388 9356 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
62,530,水平, ,陕西卫视,AVS+,MPEG-1,开锁,57,58,濮阳县,64QAM PN420 3/5(0.6),1593388 9356 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
