index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,498, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,498, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,498, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,498, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,498, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,498, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,498, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,498, ,101,中国之声, ,MPEG-1,开锁, ,730,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,498, ,102,经济之声, ,MPEG-1,开锁, ,740,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,498, ,103,音乐之声, ,MPEG-1,开锁, ,750,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,498, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,498, ,105,台海之声, ,MPEG-1,开锁, ,770,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,498, ,106,神州之声, ,MPEG-1,开锁, ,780,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,498, ,108,民族之声, ,MPEG-1,开锁, ,790,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,498, ,109,文艺之声, ,MPEG-1,开锁, ,800,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,498, ,110,老年之声, ,MPEG-1,开锁, ,810,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,498, ,112,阅读之声, ,MPEG-1,开锁, ,820,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,498, ,115,中国交通广播, ,MPEG-1,开锁, ,830,三穗, ,wfg2500 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
