index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498,水平, ,潜江新闻综合,AVS+,DRA,开锁,257,258,潜江广播电视发射站 熊口农场补点站,64QAM,a162261826 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,498,水平, ,潜江文艺生活,AVS+,DRA,开锁,513,514,潜江广播电视发射站 熊口农场补点站,64QAM,a162261826 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,498,水平, ,湖北卫视,AVS+,DRA,开锁,769,770,潜江广播电视发射站 熊口农场补点站,64QAM,a162261826 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498,水平, ,湖北综合,AVS+,DRA,开锁,1025,1026,潜江广播电视发射站 熊口农场补点站,64QAM,a162261826 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,498,水平, ,湖北垄上,AVS+,DRA,开锁,1281,1282,潜江广播电视发射站 熊口农场补点站,64QAM,a162261826 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,498,水平, ,湖北公共,AVS+,DRA,开锁,1537,1538,潜江广播电视发射站 熊口农场补点站,64QAM,a162261826 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,554, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,潜江天线迷 2022-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,554, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区, ,潜江天线迷 2022-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,554, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区, ,潜江天线迷 2022-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,554, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区, ,潜江天线迷 2022-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,554, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区, ,潜江天线迷 2022-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
