index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,瓮安县,64QAM PN420 3/5(0.6),姚你玩 2023-08-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,506, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,瓮安县,64QAM PN420 3/5(0.6),姚你玩 2023-08-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,506, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,瓮安县,64QAM PN420 3/5(0.6),姚你玩 2023-08-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,506, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,瓮安县,64QAM PN420 3/5(0.6),姚你玩 2023-08-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,506, , ,贵州卫视,AVS+,DRA,开锁,516,690,瓮安县,64QAM PN420 3/5(0.6),姚你玩 2023-08-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,506, , ,【贵州二套】,AVS+,DRA,开锁,517,700,瓮安县,64QAM PN420 3/5(0.6),姚你玩 2023-08-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,506, , ,【黔南综合频道】,AVS+,DRA,开锁,518,710,瓮安县,64QAM PN420 3/5(0.6),姚你玩 2023-08-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,506, , ,瓮安电视台,AVS+,DRA,开锁,519,720,瓮安县,64QAM PN420 3/5(0.6),姚你玩 2023-08-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,506, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,平塘县, ,黔东南地波烧友 2019-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,506, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,平塘县, ,黔东南地波烧友 2019-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
