index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,506, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,506, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,506, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,506, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,506, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,506, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,506, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,506, ,101,中国之声, ,MPEG-1,开锁, ,730,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,506, ,102,经济之声, ,MPEG-1,开锁, ,740,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,506, ,103,音乐之声, ,MPEG-1,开锁, ,750,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,506, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,506, ,105,台海之声, ,MPEG-1,开锁, ,770,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,506, ,106,神州之声, ,MPEG-1,开锁, ,780,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,506, ,108,民族之声, ,MPEG-1,开锁, ,790,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,506, ,109,文艺之声, ,MPEG-1,开锁, ,800,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,506, ,110,老年之声, ,MPEG-1,开锁, ,810,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,506, ,112,阅读之声, ,MPEG-1,开锁, ,820,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,506, ,115,中国交通广播, ,MPEG-1,开锁, ,830,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,506, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,兴仁,16QAM PN945 4/5(0.8),郭子 2024-01-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,506, , ,四川卫视,AVS+,DRA,开锁,4114,4115,普安, ,司空曌 2023-10-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,506, , ,四川经济,AVS+,DRA,开锁,4130,4131,普安, ,司空曌 2023-10-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,506, , ,四川文化旅游,AVS+,DRA,开锁,4146,4147,普安, ,司空曌 2023-10-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,506, , ,四川新闻,AVS+,DRA,开锁,4162,4163,普安, ,司空曌 2023-10-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
