index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,219, , ,中央电视台综合频道, ,DRA,开锁,25,32,莱西,64QAM PN420 3/5(0.6),大乖乖 2023-12-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,219, , ,[中央电视台财经频道](http://www.cctv.com),AVS+,DRA,开锁,36,37,莱西,64QAM PN420 3/5(0.6),大乖乖 2023-12-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,219, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,39,40,莱西,64QAM PN420 3/5(0.6),大乖乖 2023-12-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,219, , ,中央电视台新闻频道,AVS+,DRA,开锁,42,43,莱西,64QAM PN420 3/5(0.6),大乖乖 2023-12-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,219, , ,山东卫视,AVS+,DRA,开锁,46,47,莱西,64QAM PN420 3/5(0.6),大乖乖 2023-12-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,219, , ,青岛新闻综合,AVS+,DRA,开锁,49,50,莱西,64QAM PN420 3/5(0.6),大乖乖 2023-12-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,219, , ,莱西综合,AVS+,DRA,开锁,52,53,莱西,64QAM PN420 3/5(0.6),大乖乖 2023-12-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,219, , ,莱西生活,AVS+,DRA,开锁,55,56,莱西,64QAM PN420 3/5(0.6),大乖乖 2023-12-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,474,垂直,300,导视,AVS+,DRA,开锁,4097,4098,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,474,垂直,301,中央电视台综合频道,AVS+,DRA,开锁,512,650,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,474,垂直,302,[中央电视台财经频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,474,垂直,303,[中央电视台中文国际频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,474,垂直,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,474,垂直,305,中央电视台社会与法频道,AVS+,DRA,开锁,516,690,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,474,垂直,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,474,垂直,307,[中央电视台少儿频道](http://www.cctv.com),AVS+,DRA,开锁,518,710,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,474,垂直,308,[中央电视台音乐频道](http://www.cctv.com),AVS+,DRA,开锁,519,720,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,474,垂直,101,中国之声, ,MPEG-1,开锁, ,730,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,474,垂直,102,经济之声, ,MPEG-1,开锁, ,740,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,474,垂直,103,音乐之声, ,MPEG-1,开锁, ,750,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,474,垂直,104,经典音乐广播, ,MPEG-1,开锁, ,760,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,474,垂直,105,台海之声, ,MPEG-1,开锁, ,770,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,474,垂直,106,神州之声, ,MPEG-1,开锁, ,780,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,474,垂直,108,民族之声, ,MPEG-1,开锁, ,790,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,474,垂直,109,文艺之声, ,MPEG-1,开锁, ,800,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,474,垂直,110,老年之声, ,MPEG-1,开锁, ,810,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,474,垂直,112,娱乐之声, ,MPEG-1,开锁, ,820,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,474,垂直,115,中国交通广播, ,MPEG-1,开锁, ,830,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,474,垂直,116,中国乡村之声, ,MPEG-1,开锁, ,840,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,474,垂直,12001,山东综合广播, ,MPEG-1,开锁, ,2577,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,474,垂直,12002,山东经济频道, ,MPEG-1,开锁, ,2593,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,474,垂直,12003,山东文艺广播, ,MPEG-1,开锁, ,2625,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,474,垂直,12004,山东经典音乐广播, ,MPEG-1,开锁, ,2609,胶州, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,498, , ,胶州综合高清频道,AVS+,DRA,开锁,32,305,胶州,16QAM PN420 4/5(0.8),大乖乖 2024-03-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,498, , ,青岛一套,AVS+,DRA,开锁,35,306,胶州,16QAM PN420 4/5(0.8),大乖乖 2024-03-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,498, , ,山东卫视,AVS+,DRA,开锁,37,307,胶州,16QAM PN420 4/5(0.8),大乖乖 2024-03-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,506, , ,即墨生活,AVS+,DRA,开锁, , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,506, , ,青岛二套,AVS+,DRA,开锁, , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,506, , ,山东综艺,AVS+,DRA,开锁, , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,506, , ,中央电视台综艺频道,AVS+,DRA,开锁, , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,506, , ,中央电视台体育频道,AVS+,DRA,开锁, , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,506, , ,中央电视台电影频道,AVS+,DRA,开锁, , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,506, , ,中央电视台电视剧频道,AVS+,DRA,开锁, , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,506, , ,北京卫视,AVS+,DRA,开锁, , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,506, , ,湖南卫视,AVS+,DRA,开锁, , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,506, , ,浙江卫视,AVS+,DRA,开锁, , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
46,506, , ,中央电视台综合频道,AVS+,DRA,开锁, , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
47,506, , ,山东卫视,AVS+,DRA,开锁,4113,4114,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
48,506, , ,青岛一套,AVS+,DRA,开锁, , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,506, , ,即墨新闻综合,AVS+,DRA,开锁, , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
50,506, , ,山东省应急广播, , , , , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
51,506, , ,即墨新闻广播, , , , , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
52,506, , ,山东新闻广播, , , , , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
53,506, , ,即墨应急广播, , , , , ,即墨,16QAM PN420 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
54,522, , ,中央电视台农业农村频道,AVS+,MPEG-1, , , ,即墨电视发射站 0.3KW, ,zzxll 2018-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
55,522, , ,[中央电视台纪录频道](http://www.cctv.com),AVS+,MPEG-1, , , ,即墨电视发射站 0.3KW, ,zzxll 2018-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
56,522, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,MPEG-1, , , ,即墨电视发射站 0.3KW, ,zzxll 2018-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
57,522, , ,[中国环球新闻网新闻频道](http://www.cctv.com),AVS+,MPEG-1, , , ,即墨电视发射站 0.3KW, ,zzxll 2018-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
58,522, , ,山东卫视,AVS+,MPEG-1, , , ,即墨电视发射站 0.3KW, ,zzxll 2018-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
59,522, , ,山东齐鲁,AVS+,MPEG-1, , , ,即墨电视发射站 0.3KW, ,zzxll 2018-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
60,522, , ,青岛新闻综合,AVS+,MPEG-1, , , ,即墨电视发射站 0.3KW, ,zzxll 2018-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
61,522, , ,即墨新闻综合,AVS+,MPEG-1, , , ,即墨电视发射站 0.3KW, ,zzxll 2018-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
62,522, , ,山东新闻综合, , , , , ,即墨电视发射站 0.3KW, ,zzxll 2018-11-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
63,522, , ,山东综艺, , , , , ,即墨电视发射站 0.3KW, ,zzxll 2018-11-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
64,522, , ,山东体育, , , , , ,即墨电视发射站 0.3KW, ,zzxll 2018-11-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
65,522, , ,山东乡村, , , , , ,即墨电视发射站 0.3KW, ,zzxll 2018-11-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
66,522, , ,山东音乐, , , , , ,即墨电视发射站 0.3KW, ,zzxll 2018-11-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
67,522, , ,山东新闻综合, , , , , ,即墨电视发射站 0.3KW, ,zzxll 2018-11-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
68,538,水平,300,导视,AVS+,DRA,开锁,4097,4098,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
69,538,水平,301,中央电视台综合频道,AVS+,DRA,开锁,512,650,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
70,538,水平,302,[中央电视台财经频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
71,538,水平,303,[中央电视台中文国际频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
72,538,水平,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
73,538,水平,305,中央电视台社会与法频道,AVS+,DRA,开锁,516,690,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
74,538,水平,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
75,538,水平,307,[中央电视台少儿频道](http://www.cctv.com),AVS+,DRA,开锁,518,710,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
76,538,水平,308,[中央电视台音乐频道](http://www.cctv.com),AVS+,DRA,开锁,519,720,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
77,538,水平,101,中国之声, ,MPEG-1,开锁, ,730,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
78,538,水平,102,经济之声, ,MPEG-1,开锁, ,740,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
79,538,水平,103,音乐之声, ,MPEG-1,开锁, ,750,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
80,538,水平,104,经典音乐广播, ,MPEG-1,开锁, ,760,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
81,538,水平,105,台海之声, ,MPEG-1,开锁, ,770,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
82,538,水平,106,神州之声, ,MPEG-1,开锁, ,780,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
83,538,水平,108,民族之声, ,MPEG-1,开锁, ,790,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
84,538,水平,109,文艺之声, ,MPEG-1,开锁, ,800,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
85,538,水平,110,老年之声, ,MPEG-1,开锁, ,810,大泽山 1KW,16QAM PN945 4/5(0.8),songxue923 2022-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
