index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,211, ,1,广东体育,MPEG-2,DRA,开锁,5001,5002,英德市羊伞岌发射台 64QAM 3/5(0.6), ,一枝梅 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,211, ,2,广东珠江,MPEG-2,DRA,开锁,5003,5004,英德市羊伞岌发射台 64QAM 3/5(0.6), ,一枝梅 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,211, ,3,英德综合,MPEG-2,DRA,开锁,5005,5006,英德市羊伞岌发射台 64QAM 3/5(0.6), ,一枝梅 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,211, ,4,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5007,5008,英德市羊伞岌发射台 64QAM 3/5(0.6), ,一枝梅 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,211, ,5,清远新闻综合,MPEG-2,DRA,开锁,5009,5010,英德市羊伞岌发射台 64QAM 3/5(0.6), ,一枝梅 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482, , ,广东珠江,MPEG-2,DRA,开锁, , ,阳山县6:00-24:00, ,东莞卫视. 2018-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,482, , ,广东民生,MPEG-2,DRA,开锁, , ,阳山县6:00-24:00, ,东莞卫视. 2018-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,482, , ,清远综合,MPEG-2,DRA,开锁, , ,阳山县6:00-24:00, ,东莞卫视. 2018-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,482, , ,【广东经济科教（TVS1） 黑屏】,MPEG-2,DRA,开锁, , ,阳山县6:00-24:00, ,东莞卫视. 2018-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,490, , ,广东体育,MPEG-2,DRA,开锁,5001,5002,八片山, ,eagle 2022-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,490, , ,广东珠江,MPEG-2,DRA,开锁,5003,5004,八片山, ,eagle 2022-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,490, , ,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5007,5008,八片山, ,eagle 2022-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,490, , ,广东新闻,MPEG-2,DRA,开锁,5009,5010,八片山, ,eagle 2022-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,490, , ,清远综合,MPEG-2,DRA,开锁,5005,5006,八片山, ,eagle 2022-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,490, , ,广东珠江,MPEG-2,DRA,开锁,5001,5002,连州, ,humen168 2020-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,490, , ,广东民生,MPEG-2,DRA,开锁,5005,5006,连州, ,humen168 2020-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,490, , ,广东体育,MPEG-2,DRA,开锁,5003,5004,连州, ,humen168 2020-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,490, , ,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5007,5008,连州, ,humen168 2020-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,490, , ,清远综合,MPEG-2,DRA,开锁,5009,5010,连州, ,humen168 2020-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,498, , ,广东珠江,MPEG-2,DRA,开锁,5001,5002, , ,姚你玩 2024-01-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,498, , ,广东体育,MPEG-2,DRA,开锁,5003,5004, , ,姚你玩 2024-01-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,498, , ,清远综合,MPEG-2,DRA,开锁,5009,5010, , ,姚你玩 2024-01-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,506,水平, ,广东体育高清频道,AVS+,DRA,开锁,1721,1722, , ,寻乌乡村 2022-8-09,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,506,水平, ,广东少儿高清频道,AVS+,DRA,开锁,1751,1752, , ,寻乌乡村 2022-8-09,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,506,水平, ,广东卫视高清频道,AVS+,DRA,开锁,1731,1732, , ,寻乌乡村 2022-8-09,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,506,水平, ,广东影视高清频道,AVS+,DRA,开锁,1781,1782, , ,寻乌乡村 2022-8-09,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,506, , ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,佛冈, ,寻乌乡村 2022-8-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,506, , ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,佛冈, ,寻乌乡村 2022-8-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,506, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,佛冈, ,寻乌乡村 2022-8-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,506, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,佛冈, ,寻乌乡村 2022-8-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,506, , ,广东珠江,MPEG-2,DRA,开锁, , ,佛冈, ,寻乌乡村 2022-8-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,506, , ,广东体育,MPEG-2,DRA,开锁, , ,佛冈, ,寻乌乡村 2022-8-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,506, , ,广东经济科教（TVS1）,MPEG-2,DRA,开锁, , ,佛冈, ,寻乌乡村 2022-8-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,506, , ,【佛冈综合】,MPEG-2,DRA,开锁,5009,5010,佛冈, ,寻乌乡村 2022-8-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,506, , ,清远综合,MPEG-2,DRA,开锁,5007,5008,佛冈, ,寻乌乡村 2022-8-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,514, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,514, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,514, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,514, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,514, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,514, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,514, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,514, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,514, ,101,中国之声, ,MPEG-1,开锁, ,730,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,514, ,102,经济之声, ,MPEG-1,开锁, ,740,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,514, ,103,音乐之声, ,MPEG-1,开锁, ,750,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
46,514, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
47,514, ,105,台海之声, ,MPEG-1,开锁, ,770,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
48,514, ,106,神州之声, ,MPEG-1,开锁, ,780,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,514, ,108,民族之声, ,MPEG-1,开锁, ,790,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
50,514, ,109,文艺之声, ,MPEG-1,开锁, ,800,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
51,514, ,110,老年之声, ,MPEG-1,开锁, ,810,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
52,514, ,112,阅读之声, ,MPEG-1,开锁, ,820,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
53,514, ,115,中国交通广播, ,MPEG-1,开锁, ,830,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
54,514, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,八片山, ,cyj19970306hk 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
55,514, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,英德市羊伞岌发射台 64QAM 3/5(0.6), ,一枝梅 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
56,514, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,英德市羊伞岌发射台 64QAM 3/5(0.6), ,一枝梅 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
