index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,211,垂直, ,昌黎1台,MPEG-4, ,开锁,256,780,昌黎, ,刘学文 2022-05-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,211,垂直, ,昌黎2台,MPEG-4, ,开锁,257,781,昌黎, ,刘学文 2022-05-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,211,垂直, ,昌黎3台,MPEG-4, ,开锁,258,782,昌黎, ,刘学文 2022-05-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,211,垂直, ,中央电视台综合频道,MPEG-4, ,开锁,259,783,昌黎, ,刘学文 2022-05-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,211,垂直, ,中央电视台经济频道,MPEG-4, , ,260,784,昌黎, ,刘学文 2022-05-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,211,垂直, ,中央电视台综艺频道,MPEG-4, , ,261,785,昌黎, ,刘学文 2022-05-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,211,垂直, ,中央电视台中文国际频道,MPEG-4, , ,262,786,昌黎, ,刘学文 2022-05-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,211,垂直, ,中央电视台体育频道,MPEG-4, , ,263,787,昌黎, ,刘学文 2022-05-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,211,垂直, ,中央电视台电影频道,MPEG-4, , ,264,788,昌黎, ,刘学文 2022-05-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,211,垂直, ,中央电视台军事农业频道,MPEG-4, , ,265,789,昌黎, ,刘学文 2022-05-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,211,垂直, ,中央电视台电视剧频道,MPEG-4, , ,266,790,昌黎, ,刘学文 2022-05-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,211,垂直, ,中央电视台 纪录频道,MPEG-4, , ,267,791,昌黎, ,刘学文 2022-05-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,538, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,阿光888 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,538, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区, ,阿光888 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,538, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区, ,阿光888 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,538, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区, ,阿光888 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,538, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区, ,阿光888 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,538, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区, ,阿光888 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,538, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区, ,阿光888 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,538, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区, ,阿光888 2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,538, ,101,中国之声, ,MPEG-1,开锁, ,730,市区, ,阿光888 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,538, ,102,经济之声, ,MPEG-1,开锁, ,740,市区, ,阿光888 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,538, ,103,音乐之声, ,MPEG-1,开锁, ,750,市区, ,阿光888 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,538, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区, ,阿光888 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,538, ,105,台海之声, ,MPEG-1,开锁, ,770,市区, ,阿光888 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,538, ,106,神州之声, ,MPEG-1,开锁, ,780,市区, ,阿光888 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,538, ,108,民族之声, ,MPEG-1,开锁, ,790,市区, ,阿光888 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,538, ,109,文艺之声, ,MPEG-1,开锁, ,800,市区, ,阿光888 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,538, ,110,老年之声, ,MPEG-1,开锁, ,810,市区, ,阿光888 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,538, ,112,阅读之声, ,MPEG-1,开锁, ,820,市区, ,阿光888 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,538, ,115,中国交通广播, ,MPEG-1,开锁, ,830,市区, ,阿光888 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,538, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,市区, ,阿光888 2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,626,垂直, ,中央电视台科教频道,MPEG-4, , ,256,780,昌黎, ,阿光888 2021-09-30,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,626,垂直, ,中央电视台戏曲频道,MPEG-4, , ,257,781,昌黎, ,阿光888 2021-09-30,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,626,垂直, ,中央电视台社会与法频道,MPEG-4, , ,258,782,昌黎, ,阿光888 2021-09-30,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,626,垂直, ,中央电视台新闻频道,MPEG-4, , ,259,783,昌黎, ,阿光888 2021-09-30,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,626,垂直, ,中央电视台少儿频道,MPEG-4, , ,260,784,昌黎, ,阿光888 2021-09-30,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,626,垂直, ,中央电视台音乐频道,MPEG-4, , ,261,785,昌黎, ,阿光888 2021-09-30,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,626,垂直, ,河北卫视,MPEG-4, , ,262,786,昌黎, ,阿光888 2021-09-30,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,626,垂直, ,河北经济,MPEG-4, , ,263,787,昌黎, ,阿光888 2021-09-30,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,626,垂直, ,河北都市,MPEG-4, , ,264,788,昌黎, ,阿光888 2021-09-30,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,626,垂直, ,河北影视,MPEG-4, , ,265,789,昌黎, ,阿光888 2021-09-30,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
