index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, ,201,安定台,AVS+,MPEG-1,开锁,512,650, , ,ym4 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,490, , ,海南卫视,AVS+,MPEG-1,开锁, , , , ,ym5 2020-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,490, , ,三沙卫视,AVS+,MPEG-1,开锁, , , , ,ym5 2020-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,490, , ,琼海台,AVS+,MPEG-1,开锁, , , , ,ym5 2020-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,490, , ,海南新闻,AVS+,MPEG-1,开锁, , , , ,ym5 2020-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,490, ,202,海南自贸,AVS+,MPEG-1,开锁,513,650, , ,ym5 2020-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,522, , ,海南公共,AVS+,MPEG-1,开锁, , , ,16QAM PN945 4/5(0.8),ym4 2023-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,522, , ,海南文旅,AVS+,MPEG-1,开锁,515,680, ,16QAM PN945 4/5(0.8),ym4 2023-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,530, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650, , ,李杨百胜2022-05-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,530, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660, , ,李杨百胜2022-05-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,530, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670, , ,李杨百胜2022-05-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,530, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680, , ,李杨百胜2022-05-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,530, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690, , ,李杨百胜2022-05-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,530, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700, , ,李杨百胜2022-05-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,530, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710, , ,李杨百胜2022-05-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,530, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720, , ,李杨百胜2022-05-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,626, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650, , ,ym5 2020-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,626, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660, , ,ym5 2020-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,626, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670, , ,ym5 2020-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,626, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680, , ,ym5 2020-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
