index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,219, , ,黑龙江卫视高清频道,AVS+,DRA,开锁, , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,498, , ,齐齐哈尔新闻, , , , , ,讷河, ,黑龙江玩星 2023-12-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,498, , ,齐齐哈尔经济法治, , , , , ,讷河, ,黑龙江玩星 2023-12-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498, , ,讷河综合, , , , , ,讷河, ,黑龙江玩星 2023-12-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,498, , ,深圳卫视, , , , , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,498, , ,辽宁卫视, , , , , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,498, , ,湖北卫视, , , , , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,498, , ,吉林卫视, , , , , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,498, , ,山东卫视, , , , , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,498, , ,安徽卫视, , , , , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,498, , ,广东卫视, , , , , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,498, , ,福建东南卫视, , , , , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,498, , ,浙江卫视, , , , , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,498, , ,重庆卫视, , , , , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,498, , ,天津卫视, , , , , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,498, , ,河南卫视, , , , , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,538, , ,黑龙江卫视,AVS+,DRA,开锁, , ,讷河, ,黑龙江玩星 2023-12-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,538, , ,黑龙江法治新闻,AVS+,DRA,开锁, , ,讷河, ,黑龙江玩星 2023-12-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,538, , ,黑龙江农业科教,AVS+,DRA,开锁, , ,讷河, ,黑龙江玩星 2023-12-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,538, , ,[黑龙江影视](http://www.cctv.com),AVS+,DRA,开锁, , ,讷河, ,黑龙江玩星 2023-12-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,538, , ,黑龙江卫视,AVS+,DRA,开锁, , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,538, , ,黑龙江法治新闻,AVS+,DRA,开锁, , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,538, , ,黑龙江农业科教,AVS+,DRA,开锁, , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,538, , ,[黑龙江影视](http://www.cctv.com),AVS+,DRA,开锁, , ,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,538, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,538, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,538, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,538, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,538, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,538, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,538, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,538, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,538, , ,中国之声, ,MPEG-1,开锁, ,730,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,538, , ,经济之声, ,MPEG-1,开锁, ,740,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,538, , ,音乐之声, ,MPEG-1,开锁, ,750,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,538, , ,经典音乐广播, ,MPEG-1,开锁, ,760,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,538, , ,台海之声, ,MPEG-1,开锁, ,770,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,538, , ,神州之声, ,MPEG-1,开锁, ,780,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,538, , ,民族之声, ,MPEG-1,开锁, ,790,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,538, , ,文艺之声, ,MPEG-1,开锁, ,800,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,538, , ,老年之声, ,MPEG-1,开锁, ,810,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,538, , ,阅读之声, ,MPEG-1,开锁, ,820,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,538, , ,中国交通广播, ,MPEG-1,开锁, ,830,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,538, , ,中国乡村之声, ,MPEG-1,开锁, ,840,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,546, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,546, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
46,546, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
47,546, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
48,546, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,546, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
50,546, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
51,546, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
52,546, , ,中国之声, ,MPEG-1,开锁, ,730,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
53,546, , ,经济之声, ,MPEG-1,开锁, ,740,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
54,546, , ,音乐之声, ,MPEG-1,开锁, ,750,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
55,546, , ,经典音乐广播, ,MPEG-1,开锁, ,760,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
56,546, , ,台海之声, ,MPEG-1,开锁, ,770,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
57,546, , ,神州之声, ,MPEG-1,开锁, ,780,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
58,546, , ,民族之声, ,MPEG-1,开锁, ,790,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
59,546, , ,文艺之声, ,MPEG-1,开锁, ,800,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
60,546, , ,老年之声, ,MPEG-1,开锁, ,810,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
61,546, , ,阅读之声, ,MPEG-1,开锁, ,820,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
62,546, , ,中国交通广播, ,MPEG-1,开锁, ,830,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
63,546, , ,中国乡村之声, ,MPEG-1,开锁, ,840,铁锋区, ,G9無調曲ベ? 2023-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
64,546, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
65,546, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
66,546, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
67,546, , ,中国环球新闻网新闻频道,AVS+,DRA,开锁,515,680,纳河, ,李杨百胜 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
68,546, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,富拉尔基, ,刘学文 2022-05-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
69,546, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,富拉尔基, ,刘学文 2022-05-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
70,546, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,富拉尔基, ,刘学文 2022-05-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
71,546, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,富拉尔基, ,刘学文 2022-05-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
72,546, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,富拉尔基, ,刘学文 2022-05-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
73,546, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,富拉尔基, ,刘学文 2022-05-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
74,546, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,富拉尔基, ,刘学文 2022-05-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
75,546, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,富拉尔基, ,刘学文 2022-05-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
76,554, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,拜泉县, ,黑龙江拜泉 2017-03-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
77,554, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,拜泉县, ,黑龙江拜泉 2017-03-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
78,554, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,拜泉县, ,黑龙江拜泉 2017-03-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
79,554, , ,中国环球新闻网新闻频道,AVS+,DRA,开锁,515,680,拜泉县, ,黑龙江拜泉 2017-03-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
80,618, , ,依安1,MPEG-2, ,开锁,849,848,依安县, ,黑龙江拜泉 2016-08-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
81,618, , ,中央电视台体育频道,MPEG-2, ,开锁,908,909,依安县, ,黑龙江拜泉 2016-08-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
82,618, , ,中央电视台综合频道,MPEG-2, ,开锁,928,929,依安县, ,黑龙江拜泉 2016-08-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
83,618, , ,中央电视台财经频道,MPEG-2, ,开锁,948,949,依安县, ,黑龙江拜泉 2016-08-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
84,618, , ,中央电视台中文国际频道,MPEG-2, ,开锁,988,989,依安县, ,黑龙江拜泉 2016-08-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
85,618, , ,中央电视台农业农村频道,MPEG-2, ,开锁,1028,1029,依安县, ,黑龙江拜泉 2016-08-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
