index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506, , ,泉州一套,AVS+,DRA,开锁,54,55,石狮, ,新乡原阳2021-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,506, , ,石狮一套,AVS+,DRA,开锁,516,517,石狮, ,新乡原阳2021-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,506, , ,福建综合,AVS+,DRA,开锁,50,51,石狮, ,新乡原阳2021-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,506, , ,福建东南卫视,AVS+,DRA,开锁,52,261,石狮, ,新乡原阳2021-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,506, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,石狮, ,新乡原阳2021-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,506, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,石狮, ,新乡原阳2021-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,506, , ,[中央电视台戏曲频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,石狮, ,新乡原阳2021-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,506, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,石狮, ,新乡原阳2021-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,514,垂直, ,泉州一套,AVS+,DRA,开锁, , ,安溪, ,a1053536266 2016-12-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,514,垂直, ,安溪电视台,AVS+,DRA,开锁,181,182,安溪, ,a1053536266 2016-12-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,514,垂直, ,福建综合,AVS+,DRA,开锁, , ,安溪, ,a1053536266 2016-12-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,514,垂直, ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,安溪, ,a1053536266 2016-12-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,514,垂直, ,中央电视台纪录频道,AVS+,DRA,开锁,121,122,安溪, ,a1053536266 2016-12-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,514,垂直, ,[中央电视台戏曲频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,安溪, ,a1053536266 2016-12-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,514,垂直, ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,安溪, ,a1053536266 2016-12-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,514,垂直, ,福建东南卫视,AVS+,DRA,开锁, , ,安溪, ,a1053536266 2016-12-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,554, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,554, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,554, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,554, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,554, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,554, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,554, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,554, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,554, ,101,中国之声, ,MPEG-1,开锁, ,730,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,554, ,102,经济之声, ,MPEG-1,开锁, ,740,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,554, ,103,音乐之声, ,MPEG-1,开锁, ,750,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,554, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,554, ,105,台海之声, ,MPEG-1,开锁, ,770,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,554, ,106,神州之声, ,MPEG-1,开锁, ,780,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,554, ,108,民族之声, ,MPEG-1,开锁, ,790,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,554, ,109,文艺之声, ,MPEG-1,开锁, ,800,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,554, ,110,老年之声, ,MPEG-1,开锁, ,810,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,554, ,112,阅读之声, ,MPEG-1,开锁, ,820,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,554, ,115,中国交通广播, ,MPEG-1,开锁, ,830,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,554, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,清源山 永春天马台, ,叶子风 2023-09-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,626,垂直, ,泉州一套,AVS+,DRA,开锁,1025,1026,市区, ,寻乌乡村 2021-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,626,垂直, ,泉州二套,AVS+,DRA,开锁,1281,1282,市区, ,寻乌乡村 2021-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,626,垂直, ,福建综合,AVS+,DRA,开锁,513,514,市区, ,寻乌乡村 2021-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,626,垂直, ,中央电视台农业农村频道,AVS+,DRA,开锁,50,650,市区, ,寻乌乡村 2021-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,626,垂直, ,中央电视台纪录频道,AVS+,DRA,开锁,51,660,市区, ,寻乌乡村 2021-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
