index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,3071,3072,铜山, ,安徽省 2018-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,482, , ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,3091,3092,铜山, ,安徽省 2018-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,482, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,3111,3112,铜山, ,安徽省 2018-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,482, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,3161,3162,铜山, ,安徽省 2018-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,482, , ,徐州铜山电视台,AVS+,DRA,开锁,6011,6012,铜山, ,安徽省 2018-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,538,垂直, ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,538,垂直, ,中央电视台财经频道,AVS+,DRA,开锁,513,660,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,538,垂直, ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,538,垂直, ,中央电视台科教频道,AVS+,DRA,开锁,515,680,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,538,垂直, ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,538,垂直, ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,538,垂直, ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,538,垂直, ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,538,垂直, ,中国之声, ,MPEG-1,开锁, ,730,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,538,垂直, ,经济之声, ,MPEG-1,开锁, ,740,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,538,垂直, ,音乐之声, ,MPEG-1,开锁, ,750,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,538,垂直, ,经典音乐广播, ,MPEG-1,开锁, ,760,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,538,垂直, ,台海之声, ,MPEG-1,开锁, ,770,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,538,垂直, ,神州之声, ,MPEG-1,开锁, ,780,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,538,垂直, ,民族之声, ,MPEG-1,开锁, ,790,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,538,垂直, ,文艺之声, ,MPEG-1,开锁, ,800,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,538,垂直, ,老年之声, ,MPEG-1,开锁, ,810,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,538,垂直, ,阅读之声, ,MPEG-1,开锁, ,820,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,538,垂直, ,中国交通广播, ,MPEG-1,开锁, ,830,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,538,垂直, ,中国乡村之声, ,MPEG-1,开锁, ,840,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,554,垂直, ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,554,垂直, ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,554,垂直, ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,554,垂直, ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,554,垂直, ,浙江卫视,AVS+,DRA,开锁, , ,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,554,垂直, ,衢州新闻综合频道,AVS+,DRA,开锁, , ,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,554,垂直, ,江山一套,AVS+,DRA,开锁, , ,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,554,垂直, ,江山二套,AVS+,DRA,开锁, , ,江山西山, ,Cola 2022-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,722, , ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650, , ,新伟哥 2017-03-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,722, , ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660, , ,新伟哥 2017-03-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,722, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670, , ,新伟哥 2017-03-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
