index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,莒县综合,AVS+,AAC,开锁,101,102,莒县, ,大乖乖 2023-11-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482, , ,莒县影视,AVS+,AAV,开锁,105,106,莒县, ,大乖乖 2023-11-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482, , ,广播, , , , , ,莒县, ,大乖乖 2023-11-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482, , ,广播, , , , , ,莒县, ,大乖乖 2023-11-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482, , ,广播, , , , , ,莒县, ,大乖乖 2023-11-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482, , ,广播, , , , , ,莒县, ,大乖乖 2023-11-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,522,垂直,300,导视,AVS+,DRA,开锁,4097,4098,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,522,垂直,301,中央电视台综合频道,AVS+,DRA,开锁,512,650,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522,垂直,302,中央电视台财经频道,AVS+,DRA,开锁,513,660,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522,垂直,303,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522,垂直,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522,垂直,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522,垂直,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,522,垂直,307,中央电视台少儿频道,AVS+,DRA,开锁,518,710,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,522,垂直,308,中央电视台音乐频道,AVS+,DRA,开锁,519,720,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,522,垂直, ,对农广播, , , , , ,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,522,垂直,101,中国之声, ,MPEG-1,开锁, ,730,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,522,垂直,102,经济之声, ,MPEG-1,开锁, ,740,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,522,垂直,103,音乐之声, ,MPEG-1,开锁, ,750,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,522,垂直,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,522,垂直,105,台海之声, ,MPEG-1,开锁, ,770,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,522,垂直,106,神州之声, ,MPEG-1,开锁, ,780,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,522,垂直,108,民族之声, ,MPEG-1,开锁, ,790,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,522,垂直,109,文艺之声, ,MPEG-1,开锁, ,800,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,522,垂直,110,老年之声, ,MPEG-1,开锁, ,810,市区 莒县,16QAM PN945 4/5(0.8),大乖乖 2023-11-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
