index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,义马电视台,MPEG-4,MPEG-1,开锁,4096,4352,义马,64QAM PN420 3/5(0.6),大乖乖 2023-11-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482, , ,河南卫视,MPEG-4,MPEG-1,开锁,4114,4113,义马,64QAM PN420 3/5(0.6),大乖乖 2023-11-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482, , ,[中央电视台综合频道](http://www.cctv.com),MPEG-4,MPEG-1,开锁,33,34,义马,64QAM PN420 3/5(0.6),大乖乖 2023-11-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482, , ,中央电视台中文国际频道,MPEG-4,MPEG-1,开锁,1160,1120,义马,64QAM PN420 3/5(0.6),大乖乖 2023-11-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482, , ,中央电视台科教频道,MPEG-4,MPEG-1,开锁,4098,4102,义马,64QAM PN420 3/5(0.6),大乖乖 2023-11-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,522, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区 灵宝 义马 卢氏,16QAM PN945 4/5(0.8),大乖乖 2023-11-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,522, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区 灵宝 义马 卢氏,16QAM PN945 4/5(0.8),大乖乖 2023-11-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,522, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区 灵宝 义马 卢氏,16QAM PN945 4/5(0.8),大乖乖 2023-11-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区 灵宝 义马 卢氏,16QAM PN945 4/5(0.8),大乖乖 2023-11-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区 灵宝 义马 卢氏,16QAM PN945 4/5(0.8),大乖乖 2023-11-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
