index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474,水平, ,浦东高清频道,AVS+,MPEG-2,开锁,35,36, , ,西曼の視界2021-03-28,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,482,垂直, ,青浦高清频道,AVS+,DRA,开锁,34,35,青浦, ,enjoynight 2023-08-02,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,498,水平,7,嘉定高清频道,AVS+,MPEG-2,开锁,258,259,嘉定,16QAM PN595 4/5(0.8),xxj737 2023-12-10,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498,水平,8,嘉定台,AVS+,MPEG-2,开锁,1616,1617,嘉定,16QAM PN595 4/5(0.8),xxj737 2023-12-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,506, , ,松江频道,AVS+,MPEG-2,开锁, , ,松江, ,Nicholas 2020-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,554,水平, ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,东方明珠电视台,16QAM PN595 4/5(0.8),卫星电视2008 2021-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,554,水平, ,中央电视台财经频道,AVS+,DRA,开锁,513,660,东方明珠电视台,16QAM PN595 4/5(0.8),卫星电视2008 2021-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,554,水平, ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,东方明珠电视台,16QAM PN595 4/5(0.8),卫星电视2008 2021-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,554,水平, ,中央电视台科教频道,AVS+,DRA,开锁,515,680,东方明珠电视台,16QAM PN595 4/5(0.8),卫星电视2008 2021-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,554,水平, ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,东方明珠电视台,16QAM PN595 4/5(0.8),卫星电视2008 2021-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,554,水平, ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,东方明珠电视台,16QAM PN595 4/5(0.8),卫星电视2008 2021-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,554,水平, ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,东方明珠电视台,16QAM PN595 4/5(0.8),卫星电视2008 2021-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,554,水平, ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,东方明珠电视台,16QAM PN595 4/5(0.8),卫星电视2008 2021-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,554,水平, ,中国之声, , ,开锁, ,730,东方明珠电视台,16QAM PN595 4/5(0.8),卫星电视2008 2021-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,554,水平, ,经济之声, , ,开锁, ,740,东方明珠电视台,16QAM PN595 4/5(0.8),卫星电视2008 2021-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,554,水平, ,音乐之声, , ,开锁, ,750,东方明珠电视台,16QAM PN595 4/5(0.8),卫星电视2008 2021-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,554,水平, ,经典音乐广播, , ,开锁, ,760,东方明珠电视台,16QAM PN595 4/5(0.8),卫星电视2008 2021-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,554,水平, ,台海之声, , ,开锁, ,770,东方明珠电视台,16QAM PN595 4/5(0.8),卫星电视2008 2021-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,554,水平, ,神州之声, , ,开锁, ,780,东方明珠电视台,16QAM PN595 4/5(0.8),卫星电视2008 2021-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
