index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506, ,201,陕西新闻资讯,AVS+,DRA,开锁,211,212,松朵儿发射台,16QAM PN945 4/5(0.8),沙漠春秋2024-01-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,506, ,202,陕西都市青春,AVS+,DRA,开锁,221,222,松朵儿发射台,16QAM PN945 4/5(0.8),沙漠春秋2024-01-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,506, ,205,陕西公共,AVS+,DRA,开锁,251,252,松朵儿发射台,16QAM PN945 4/5(0.8),沙漠春秋2024-01-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,506, ,101,陕西农村广播, ,MPEG-1,开锁, ,74,松朵儿发射台,16QAM PN945 4/5(0.8),沙漠春秋2024-01-12,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,506, ,102,陕西都市广播, ,MPEG-1,开锁, ,78,松朵儿发射台,16QAM PN945 4/5(0.8),沙漠春秋2024-01-12,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,506, ,103,陕西音乐广播, ,MPEG-1,开锁, ,54,松朵儿发射台,16QAM PN945 4/5(0.8),沙漠春秋2024-01-12,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,506, ,104,陕西戏曲广播, ,MPEG-1,开锁, ,76,松朵儿发射台,16QAM PN945 4/5(0.8),沙漠春秋2024-01-12,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,506, ,105,陕西经济广播, ,MPEG-1,开锁, ,66,松朵儿发射台,16QAM PN945 4/5(0.8),沙漠春秋2024-01-12,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,506, ,106,陕西音乐广播, ,MPEG-1,开锁, ,54,松朵儿发射台,16QAM PN945 4/5(0.8),沙漠春秋2024-01-12,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,506, ,107,陕西新闻广播, ,MPEG-1,开锁, ,66,松朵儿发射台,16QAM PN945 4/5(0.8),沙漠春秋2024-01-12,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,506, ,108,陕西青少广播, ,MPEG-1,开锁, ,80,松朵儿发射台,16QAM PN945 4/5(0.8),沙漠春秋2024-01-12,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,506, ,109,陕西秦腔广播, ,MPEG-1,开锁, ,96,松朵儿发射台,16QAM PN945 4/5(0.8),沙漠春秋2024-01-12,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,506, ,111,陕西交通广播, ,MPEG-1,开锁, ,52,松朵儿发射台,16QAM PN945 4/5(0.8),沙漠春秋2024-01-12,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,514,水平,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,514,水平,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,514,水平,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,514,水平,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,514,水平,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,514,水平,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,514,水平,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,514,水平,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,514,水平,101,中国之声, ,MPEG-1,开锁, ,730,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,514,水平,102,经济之声, ,MPEG-1,开锁, ,740,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,514,水平,103,音乐之声, ,MPEG-1,开锁, ,750,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,514,水平,104,经典音乐广播, ,MPEG-1,开锁, ,760,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,514,水平,105,台海之声, ,MPEG-1,开锁, ,770,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,514,水平,106,神州之声, ,MPEG-1,开锁, ,780,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,514,水平,108,民族之声, ,MPEG-1,开锁, ,790,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,514,水平,109,文艺之声, ,MPEG-1,开锁, ,800,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,514,水平,110,老年之声, ,MPEG-1,开锁, ,810,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,514,水平,112,阅读之声, ,MPEG-1,开锁, ,820,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,514,水平,115,中国交通广播, ,MPEG-1,开锁, ,830,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,514,水平,116,中国乡村之声, ,MPEG-1,开锁, ,840,镇安县, ,亚洲波束 2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,514,水平,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,514,水平,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,514,水平,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,514,水平,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,514,水平,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,514,水平,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,514,水平,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,514,水平,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,514,水平,101,中国之声, ,MPEG-1,开锁, ,730,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,514,水平,102,经济之声, ,MPEG-1,开锁, ,740,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,514,水平,103,音乐之声, ,MPEG-1,开锁, ,750,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,514,水平,104,经典音乐广播, ,MPEG-1,开锁, ,760,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,514,水平,105,台海之声, ,MPEG-1,开锁, ,770,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
46,514,水平,106,神州之声, ,MPEG-1,开锁, ,780,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
47,514,水平,108,民族之声, ,MPEG-1,开锁, ,790,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
48,514,水平,109,文艺之声, ,MPEG-1,开锁, ,800,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,514,水平,110,老年之声, ,MPEG-1,开锁, ,810,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
50,514,水平,112,阅读之声, ,MPEG-1,开锁, ,820,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
51,514,水平,115,中国交通广播, ,MPEG-1,开锁, ,830,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
52,514,水平,116,中国乡村之声, ,MPEG-1,开锁, ,840,洛南, ,chenzhecvc 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
53,514,水平,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,松朵儿发射台, ,陕H小哥 2022-07-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
54,514,水平,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,松朵儿发射台, ,陕H小哥 2022-07-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
55,514,水平,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,松朵儿发射台, ,陕H小哥 2022-07-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
56,514,水平,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,松朵儿发射台, ,陕H小哥 2022-07-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
57,514,水平,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,松朵儿发射台, ,陕H小哥 2022-07-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
58,514,水平,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,松朵儿发射台, ,陕H小哥 2022-07-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
