index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,弋阳705发射台, ,余江寻星者2018-05-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,506, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,弋阳705发射台, ,余江寻星者2018-05-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,506, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,弋阳705发射台, ,余江寻星者2018-05-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,506, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,弋阳705发射台, ,余江寻星者2018-05-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,506, , ,江西卫视,AVS+,DRA,开锁,451,452,弋阳705发射台, ,余江寻星者2018-05-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,506, , ,上饶一套,AVS+,DRA,开锁,461,462,弋阳705发射台, ,余江寻星者2018-05-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,506, , ,上饶一套,MPEG-2,MPEG-1,开锁,51,52,弋阳705发射台, ,余江寻星者2018-05-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,538, , ,上饶一套,MPEG-2,MPEG-1,开锁,257,258, , ,余江寻星者2018-04-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,538, , ,上饶二套,MPEG-2,MPEG-1,开锁,261,262, , ,余江寻星者2018-04-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,538, , ,【预备频道】,MPEG-2,MPEG-1,开锁,513,514, , ,余江寻星者2018-04-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,538, , ,【预备频道】,MPEG-2,MPEG-1,开锁,517,518, , ,余江寻星者2018-04-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,546, ,401,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,市区, ,李杨百胜2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
