index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,南雄电视台,MPEG-2,DRA,开锁, , ,南雄, ,新乡原阳2023-03-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474, , ,广东经济科教（TVS1）,MPEG-2,DRA,开锁, , ,南雄, ,新乡原阳2023-03-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474, , ,韶关一套,MPEG-2,DRA,开锁, , ,南雄, ,新乡原阳2023-03-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474, , ,广东体育,MPEG-2,DRA,开锁, , ,南雄, ,新乡原阳2023-03-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474, , ,广东珠江,MPEG-2,DRA,开锁, , ,南雄, ,新乡原阳2023-03-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,490,水平, ,广东体育,MPEG-2,DRA,开锁,5001,5002,仁化 白石岭, ,粤北地区2023-05-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,490,水平, ,广东珠江,MPEG-2,DRA,开锁,5003,5004,仁化 白石岭, ,粤北地区2023-05-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,490,水平, ,仁化综合,MPEG-2,DRA,开锁,5005,5006,仁化 白石岭, ,粤北地区2023-05-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,490,水平, ,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5007,5008,仁化 白石岭, ,粤北地区2023-05-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,490,水平, ,韶关一套,MPEG-2,DRA,开锁,5009,5010,仁化 白石岭, ,粤北地区2023-05-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,498,水平, ,韶关新闻综合,MPEG-2,DRA,开锁,5009,5010,新丰县,64QAM PN420 3/5(0.6),龙门烧友 2022-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,498,水平, ,广东体育,MPEG-2,DRA,开锁,5001,5002,新丰县,64QAM PN420 3/5(0.6),龙门烧友 2022-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,498,水平, ,广东珠江,MPEG-2,DRA,开锁,5003,5004,新丰县,64QAM PN420 3/5(0.6),龙门烧友 2022-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,498,水平, ,新丰电视台,MPEG-2,DRA,开锁,5005,5006,新丰县,64QAM PN420 3/5(0.6),龙门烧友 2022-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,498,水平, ,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5007,5008,新丰县,64QAM PN420 3/5(0.6),龙门烧友 2022-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,498, , ,广东体育,MPEG-2,DRA,开锁,5001,5002,大岗山, ,粤北地区2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,498, , ,广东珠江,MPEG-2,DRA,开锁,5003,5004,大岗山, ,粤北地区2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,498, , ,广东新闻,MPEG-2,DRA,开锁,5005,5006,大岗山, ,粤北地区2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,498, , ,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5007,5008,大岗山, ,粤北地区2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,498, , ,韶关新闻综合,MPEG-2,DRA,开锁,5009,5010,大岗山, ,粤北地区2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,506, , ,广东卫视,MPEG-2,DRA,开锁, , ,始兴县, ,2017-11-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,506, , ,广东公共,MPEG-2,DRA,开锁, , ,始兴县, ,2017-11-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,506, , ,广东经济科教（TVS1）,MPEG-2,DRA,开锁, , ,始兴县, ,2017-11-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,506, , ,广东珠江,MPEG-2,DRA,开锁, , ,始兴县, ,2017-11-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
