index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, ,2001,沈阳新闻综合,AVS+,DRA,开锁,34,35,沈北新区, ,WOSHIHEGE 2022-07-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,171, ,2002,辽宁经济,AVS+,DRA,开锁,37,38,沈北新区, ,WOSHIHEGE 2022-07-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,171, ,2003,辽宁公共,AVS+,DRA,开锁,40,41,沈北新区, ,WOSHIHEGE 2022-07-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,171, ,2004,沈北新闻综合,AVS+,DRA,开锁,44,45,沈北新区, ,WOSHIHEGE 2022-07-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,171, ,2005,沈北新闻综合,AVS+,DRA,开锁,47,48,沈北新区, ,WOSHIHEGE 2022-07-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,195, , ,苏家屯综合,AVS+,DRA,开锁, , ,苏家屯, ,英佰 2023-02-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,195, , ,沈阳新闻综合,AVS+,DRA,开锁, , ,苏家屯, ,英佰 2023-02-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,195, , ,辽宁经济,AVS+,DRA,开锁, , ,苏家屯, ,英佰 2023-02-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,195, , ,辽宁公共,AVS+,DRA,开锁, , ,苏家屯, ,英佰 2023-02-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,203, , ,法库综合,AVS+,DRA,开锁, , ,法库, ,英佰 2023-02-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,203, , ,沈阳新闻综合,AVS+,DRA,开锁, , ,法库, ,英佰 2023-02-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,203, , ,辽宁经济,AVS+,DRA,开锁, , ,法库, ,英佰 2023-02-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,203, , ,辽宁公共,AVS+,DRA,开锁, , ,法库, ,英佰 2023-02-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,474, , ,沈阳新闻综合,AVS+,DRA,开锁,34,35,新民, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,474, , ,辽宁经济,AVS+,DRA,开锁,50,51,新民, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,474, , ,辽宁公共,AVS+,DRA,开锁,66,67,新民, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,474, , ,新民综合,AVS+,DRA,开锁, , ,新民, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,498, ,32,沈阳新闻综合,AVS+,DRA,开锁,34,35,彩电塔, ,WOSHIHEGE 2022-07-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,498, ,48,辽宁经济,AVS+,DRA,开锁,50,51,彩电塔, ,WOSHIHEGE 2022-07-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,498, ,64,辽宁公共,AVS+,DRA,开锁,66,67,彩电塔, ,WOSHIHEGE 2022-07-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,506, , ,辽宁卫视,AVS+,DRA,开锁,257,258,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,506, , ,辽宁都市,AVS+,DRA,开锁,260,261,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,506, , ,辽宁影视剧,AVS+,DRA,开锁,513,514,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,506, , ,宜佳购物,AVS+,DRA,开锁,516,517,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,506, , ,辽宁体育,AVS+,DRA,开锁,769,770,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,506, , ,辽宁生活,AVS+,DRA,开锁,772,773,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,506, , ,辽宁北方,AVS+,DRA,开锁,1025,1026,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,506, , ,辽宁教育青少,AVS+,DRA,开锁,1028,1029,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,506, , ,Pname, ,MPEG-1,开锁, ,4098,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,514, ,301,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,514, ,302,中央电视台财经频道,AVS+,DRA,开锁,513,660,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,514, ,303,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,514, ,304,中央电视台科教频道,AVS+,DRA,开锁,515,680,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,514, ,305,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,514, ,306,中央电视台新闻频道,AVS+,DRA,开锁,517,700,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,514, ,307,中央电视台少儿频道,AVS+,DRA,开锁,518,710,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,514, ,308,中央电视台音乐频道,AVS+,DRA,开锁,519,720,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,514, ,101,中国之声, ,MPEG-1,开锁, ,730,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,514, ,102,经济之声, ,MPEG-1,开锁, ,740,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,514, ,103,音乐之声, ,MPEG-1,开锁, ,750,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,514, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,514, ,105,台海之声, ,MPEG-1,开锁, ,770,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,514, ,106,神州之声, ,MPEG-1,开锁, ,780,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,514, ,108,民族之声, ,MPEG-1,开锁, ,790,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,514, ,109,文艺之声, ,MPEG-1,开锁, ,800,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,514, ,110,老年之声, ,MPEG-1,开锁, ,810,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
46,514, ,112,阅读之声, ,MPEG-1,开锁, ,820,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
47,514, ,115,中国交通广播, ,MPEG-1,开锁, ,830,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
48,514, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,538, ,401,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
50,538, ,402,中央电视台纪录频道,AVS+,DRA,开锁,513,660,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
51,538, ,403,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
52,538, ,404,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,彩电塔, ,shbjspaq 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
53,610, ,2001,康平综合,AVS+,DRA,开锁,35,42,康平, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
54,610, ,2002,辽宁经济,AVS+,DRA,开锁,37,38,康平, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
55,610, ,2003,辽宁公共,AVS+,DRA,开锁,40,41,康平, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
56,610, ,2004,【康平影视】,AVS+,DRA,开锁,44,45,康平, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
57,610, ,2005,沈阳新闻综合,AVS+,DRA,开锁,47,48,康平, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
58,674, ,110,[中央电视台综合频道](http://www.cctv.com),MPEG-4,MPEG-1,开锁,129,130,康平 16QAM, ,WOSHIHEGE 2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
59,674, ,120,[中央电视台经济频道](http://www.cctv.com),MPEG-4,MPEG-1, ,256,257,康平 16QAM, ,WOSHIHEGE 2022-09-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
60,674, ,130,中央电视台综艺频道,MPEG-4,MPEG-1, ,383,384,康平 16QAM, ,WOSHIHEGE 2022-09-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
61,674, ,140,中央电视台中文国际频道,MPEG-4,MPEG-1, ,510,511,康平 16QAM, ,WOSHIHEGE 2022-09-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
62,674, ,150,中央电视台体育频道,MPEG-4,MPEG-1, ,637,638,康平 16QAM, ,WOSHIHEGE 2022-09-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
