index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474,垂直,41,深圳卫视高清频道,MPEG-4,MPEG-1,开锁,401,4001,梧桐山,64QAM PN420 3/5(0.6),唐兴路DTMB 2021-12-07,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474,垂直,42,深圳都市高清频道,MPEG-4,MPEG-1,开锁,402,4002,梧桐山,64QAM PN420 3/5(0.6),唐兴路DTMB 2021-12-07,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,506,垂直,51,广东珠江,MPEG-4,MPEG-2,开锁,501,5011,梧桐山,64QAM PN420 3/5(0.6),xxj737 2022-11-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,506,垂直,52,广东新闻,MPEG-4,MPEG-2,开锁,502,5012,梧桐山,64QAM PN420 3/5(0.6),xxj737 2022-11-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,506,垂直,53,广东经济科教（TVS1）,MPEG-4,MPEG-2,开锁,503,5013,梧桐山,64QAM PN420 3/5(0.6),xxj737 2022-11-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,506,垂直,54,广东体育,MPEG-4,MPEG-2,开锁,504,5014,梧桐山,64QAM PN420 3/5(0.6),xxj737 2022-11-16,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,506,垂直,55,广东卫视,MPEG-4,MPEG-2,开锁,505,5005,梧桐山,64QAM PN420 3/5(0.6),xxj737 2022-11-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,506,垂直,56,深圳财经,MPEG-4,MPEG-2,开锁,506,5006,梧桐山,64QAM PN420 3/5(0.6),xxj737 2022-11-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,506,垂直,57,深圳娱乐,MPEG-4,MPEG-2,开锁,507,5007,梧桐山,64QAM PN420 3/5(0.6),xxj737 2022-11-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,506,垂直,58,深圳体育,MPEG-4,MPEG-2,开锁,508,5508,梧桐山,64QAM PN420 3/5(0.6),xxj737 2022-11-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,506,垂直,59,深圳少儿,MPEG-4,MPEG-2,开锁,509,5009,梧桐山,64QAM PN420 3/5(0.6),xxj737 2022-11-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,554,垂直,301,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,梧桐山,64QAM PN420 3/5(0.6),xxj737 2023-06-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,554,垂直,302,中央电视台经济频道,AVS+,DRA,开锁,513,660,梧桐山,64QAM PN420 3/5(0.6),xxj737 2023-06-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,554,垂直,303,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,梧桐山,64QAM PN420 3/5(0.6),xxj737 2023-06-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,554,垂直,304,中央电视台科教频道,AVS+,DRA,开锁,515,680,梧桐山,64QAM PN420 3/5(0.6),xxj737 2023-06-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
