index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506, , ,新疆二套, , , , , ,玛纳斯, ,王老五 2018-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,506, , ,新疆三套, , , , , ,玛纳斯, ,王老五 2018-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,506, , ,新疆四套, , , , , ,玛纳斯, ,王老五 2018-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,506, , ,新疆五套, , , , , ,玛纳斯, ,王老五 2018-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,506, , ,新疆八套, , , , , ,玛纳斯, ,王老五 2018-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,506, , ,卡酷少儿, , , , , ,玛纳斯, ,王老五 2018-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,514, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,五家渠, ,klwxb 2018-02-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,514, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,五家渠, ,klwxb 2018-02-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,514, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,五家渠, ,klwxb 2018-02-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,514, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,五家渠, ,klwxb 2018-02-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,514, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,五家渠, ,klwxb 2018-02-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,514, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,五家渠, ,klwxb 2018-02-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,514, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,五家渠, ,klwxb 2018-02-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,514, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,五家渠, ,klwxb 2018-02-06, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
