index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,203, , ,藁城新闻综合,MPEG-4,MPEG-1,开锁, , ,藁城, ,新华电子 2022-08-12,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,203, , ,藁城生活资讯,MPEG-4,MPEG-1,开锁, , ,藁城, ,新华电子 2022-08-12,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474, , ,中央电视台综合频道,AVS+,DRA,开锁,34,35,行唐, ,农夫烧星 2022-04-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474, , ,河北卫视,AVS+,DRA,开锁,37,38,行唐, ,农夫烧星 2022-04-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474, , ,中央电视台农业农村频道,AVS+,DRA,开锁,40,41,行唐, ,农夫烧星 2022-04-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474, , ,石家庄新闻综合,AVS+,DRA,开锁,43,44,行唐, ,农夫烧星 2022-04-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474, , ,行唐综合高清频道,AVS+,DRA,开锁,57,48,行唐, ,农夫烧星 2022-04-25,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,482,垂直, ,北京卫视,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-01-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,482,垂直, ,山西卫视,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-01-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,482,垂直, ,央视精品,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-01-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,482,垂直, ,湖南卫视,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-01-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,482,垂直, ,广西卫视,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-01-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,482,垂直, ,广东卫视,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-01-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,482,垂直, ,云南卫视,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-01-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,482,垂直, ,天津卫视,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-01-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,482,垂直, ,怀旧剧场,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-01-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,482,垂直, ,风云剧场,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-01-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,482,垂直, ,老故事,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-01-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,482,垂直, ,重庆卫视,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-01-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,490,垂直, ,中国教育电视1台,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-12-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,490,垂直, ,河北公共,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-12-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,490,垂直, ,安徽卫视,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-12-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,490,垂直, ,深圳卫视,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-12-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,490,垂直, ,海南卫视,MPEG-4, , , , ,灵寿县, ,元氏老宋2019-12-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
