index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, , ,十堰经济旅游,AVS+,DRA,开锁,772,773,十堰四方山发射台, ,395715181 2023-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,171, , ,湖北垄上,AVS+,DRA,开锁,260,261,十堰四方山发射台, ,395715181 2023-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,171, , ,湖北公共新闻,AVS+,DRA,开锁,513,514,十堰四方山发射台, ,395715181 2023-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,171, , ,湖北综合,AVS+,DRA,开锁,257,258,十堰四方山发射台, ,395715181 2023-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,171, , ,湖北经视,AVS+,DRA,开锁,516,517,十堰四方山发射台, ,395715181 2023-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,171, , ,湖北卫视,AVS+,DRA,开锁,1025,1026,十堰四方山发射台, ,395715181 2023-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,171, , ,十堰新闻综合,AVS+,DRA,开锁,769,770,十堰四方山发射台, ,395715181 2023-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,179, , ,十堰公共,AVS+,DRA,开锁,772,773,竹溪县标湖发射台, ,房县乐惠电子2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,179, , ,竹溪新闻,AVS+,DRA,开锁,516,517,竹溪县标湖发射台, ,房县乐惠电子2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,179, , ,湖北垄上,AVS+,DRA,开锁,260,261,竹溪县标湖发射台, ,房县乐惠电子2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,179, , ,湖北公共新闻,AVS+,DRA,开锁,513,514,竹溪县标湖发射台, ,房县乐惠电子2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,179, , ,湖北综合,AVS+,DRA,开锁,257,258,竹溪县标湖发射台, ,房县乐惠电子2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,179, , ,湖北经视,AVS+,DRA,开锁,516,517,竹溪县标湖发射台, ,房县乐惠电子2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,179, , ,【湖北卫视】,AVS+,DRA,开锁,1025,1026,竹溪县标湖发射台, ,房县乐惠电子2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,179, , ,十堰新闻综合,AVS+,DRA,开锁,769,770,竹溪县标湖发射台, ,房县乐惠电子2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,195, , ,十堰经济旅游,AVS+,DRA,开锁,772,773,郧西大尖山发射台, ,395715181 2023-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
