index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,530, , ,宁夏公共, , , , , , , ,hnjiawei12 2018-06-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,658, , ,石嘴山综合, , , , , , , ,hnjiawei12 2018-06-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,658, , ,石嘴山公共, , , , , , , ,hnjiawei12 2018-06-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,658, , ,平罗公共, , , , , , , ,hnjiawei12 2018-06-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,706, , ,宁夏影视, , , , , , , ,nxuc 2016-02-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,706, , ,宁夏购物, , , , , , , ,nxuc 2016-02-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,706, , ,宁夏经济, , , , , , , ,nxuc 2016-02-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,706, , ,导视, , , , , , , ,nxuc 2016-02-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,706, , ,宁夏教育, , , , , , , ,nxuc 2016-02-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,706, , ,宁夏少儿, , , , , , , ,nxuc 2016-02-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,746, , ,中央电视台农业农村频道, , , , , , , ,hnjiawei12 2018-06-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,746, , ,宁夏卫视, , , , , , , ,hnjiawei12 2018-06-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,746, , ,石嘴山综合, , , , , , , ,nxuc 2017-05-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,746, , ,石嘴山公共, , , , , , , ,nxuc 2017-05-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,746, , ,宁夏公共, , , , , , , ,nxuc 2017-05-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,746, , ,宁夏卫视, , , , , , , ,nxuc 2017-05-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
