index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498, , ,黑龙江少儿,AVS+, ,开锁, , ,友谊县, ,新乡原阳 2016-04-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,498, , ,黑龙江公共农业,AVS+, ,开锁, , ,友谊县, ,新乡原阳 2016-04-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,498, , ,黑龙江卫视,AVS+, ,开锁, , ,友谊县, ,新乡原阳 2016-04-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498, , ,黑龙江新闻,AVS+, ,开锁, , ,友谊县, ,新乡原阳 2016-04-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,498, , ,友谊综合,AVS+, ,开锁, , ,友谊县, ,新乡原阳 2016-04-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,498, , ,黑龙江公共,AVS+, ,开锁, , ,友谊县, ,新乡原阳 2016-04-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,498, , ,黑龙江7套,AVS+, ,开锁, , ,友谊县, ,新乡原阳 2016-04-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,498, , ,双鸭山综合,AVS+, ,开锁, , ,友谊县, ,新乡原阳 2016-04-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,498, , ,双鸭山公共,AVS+, ,开锁, , ,友谊县, ,新乡原阳 2016-04-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,498, , ,[黑龙江文艺](http://www.cctv.com),AVS+, ,开锁, , ,友谊县, ,新乡原阳 2016-04-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,498, , ,[黑龙江都市](http://www.cctv.com),AVS+, ,开锁, , ,友谊县, ,新乡原阳 2016-04-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,498, , ,[黑龙江新闻](http://www.cctv.com),AVS+, ,开锁, , ,友谊县, ,新乡原阳 2016-04-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,706, , ,[中央电视台军事农业频道](http://www.cctv.com),AVS+, ,开锁, , , , ,3286089 2018-07-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
