index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,522, , ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,梨树, ,爱锅多于爱老婆 2018-10-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,522, , ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,梨树, ,爱锅多于爱老婆 2018-10-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,522, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,梨树, ,爱锅多于爱老婆 2018-10-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,522, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,梨树, ,爱锅多于爱老婆 2018-10-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,522, , ,吉林卫视,AVS+,DRA,开锁, , ,梨树, ,爱锅多于爱老婆 2018-10-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,522, , ,吉林乡村,AVS+,DRA,开锁, , ,梨树, ,爱锅多于爱老婆 2018-10-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,522, , ,四平一套,AVS+,DRA,开锁,1562,1563,梨树, ,爱锅多于爱老婆 2018-10-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,522, , ,梨树新闻,AVS+,DRA,开锁,1602,1603,梨树, ,爱锅多于爱老婆 2018-10-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,554, ,1,吉林卫视,AVS+,DRA,开锁,37,38,市区伊通,16QAM 4/5(0.8),新乡原阳 2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,554, ,2,吉林都市,AVS+,DRA,开锁, , ,市区伊通,16QAM 4/5(0.8),新乡原阳 2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,554, ,3,吉林生活,AVS+,DRA,开锁,46,47,市区伊通,16QAM 4/5(0.8),新乡原阳 2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,554, ,4,吉林影视,AVS+,DRA,开锁,54,55,市区伊通,16QAM 4/5(0.8),新乡原阳 2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,554, , ,吉林乡村,AVS+,DRA,开锁, , ,市区伊通,16QAM 4/5(0.8),新乡原阳 2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,554, ,6,吉林公共新闻,AVS+,DRA,开锁,48,49,市区伊通,16QAM 4/5(0.8),新乡原阳 2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
