index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,[绥化新闻综合](http://www.cctv.com), , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,482, , ,[绥化公共](http://www.cctv.com), , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,482, , ,青冈一套, , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,482, , ,青冈二套, , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,482, , ,青冈三套, , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,482, , ,[中央电视台综合频道](http://www.cctv.com), , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,482, , ,[中央电视台财经频道](http://www.cctv.com), , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,482, , ,中央电视台中文国际频道, , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,522, , ,[中央电视台新闻频道](http://www.cctv.com), , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,522, , ,[中央电视台农业农村频道](http://www.cctv.com), , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,522, , ,中央电视台戏曲频道, , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,522, , ,黑龙江卫视, , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,522, , ,黑龙江影视, , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,522, , ,黑龙江少儿, , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,522, , ,黑龙江文艺, , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,522, , ,黑龙江都市, , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,522, , ,黑龙江新闻, , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,522, , ,黑龙江公共农业, , ,开锁, , ,青冈县, ,龙凤电视 2017-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,538, , ,黑龙江卫视,AVS+,DRA,开锁,101,102,安达, ,龙凤电视 2022-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,538, , ,黑龙江新闻,AVS+,DRA,开锁,201,202,安达, ,龙凤电视 2022-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,538, , ,黑龙江公共农业,AVS+,DRA,开锁,301,302,安达, ,龙凤电视 2022-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,538, , ,黑龙江影视,AVS+,DRA,开锁,401,402,安达, ,龙凤电视 2022-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,538, , ,绥化新闻,AVS+,DRA,开锁, , ,安达, ,龙凤电视 2022-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
