index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490, , ,四川卫视,AVS+,MPEG-2,开锁,1111,1112,船山, ,元氏老宋2024-01-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,490, , ,遂宁综合,AVS+,MPEG-2,开锁, , ,船山, ,元氏老宋2024-01-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,490, , ,船山综合,AVS+,MPEG-2,开锁,1321,1322,船山, ,元氏老宋2024-01-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,490, , , , , , , , ,四川省广播电视局528台（市区） 300W,16QAM PN420 4/5(0.8),司空曌 2023-07-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,490, , , , , , , , ,四川省广播电视局528台（市区） 300W,16QAM PN420 4/5(0.8),司空曌 2023-07-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,490, , , , , , , , ,四川省广播电视局528台（市区） 300W,16QAM PN420 4/5(0.8),司空曌 2023-07-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,482, , ,[中央电视台综合频道](http://www.cctv.com/), , ,开锁, , , , ,波波夫 2018-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,482, , ,[中央电视台财经频道](http://www.cctv.com/), , ,开锁, , , , ,波波夫 2018-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,482, , ,中央电视台中文国际频道, , ,开锁, , , , ,波波夫 2018-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,482, , ,[中央电视台军事农业频道](http://www.cctv.com/), , ,开锁, , , , ,波波夫 2018-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,482, , ,中央电视台纪录频道, , ,开锁, , , , ,波波夫 2018-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,482, , ,[中央电视台科教频道](http://www.cctv.com/), , ,开锁, , , , ,波波夫 2018-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,482, , ,[中央电视台戏曲频道](http://www.cctv.com/), , ,开锁, , , , ,波波夫 2018-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,482, , ,[中央电视台社会与法频道](http://www.cctv.com/), , ,开锁, , , , ,波波夫 2018-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,482, , ,中央电视台新闻频道, , ,开锁, , , , ,波波夫 2018-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
