index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, , ,湖北经视,AVS+,DRA,开锁,513,514,随州大洪山,16QAM PN420 4/5(0.8),qianying818 2023-01-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,171, , ,湖北卫视,AVS+,DRA,开锁,1537,1538,随州大洪山,16QAM PN420 4/5(0.8),qianying818 2023-01-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,171, , ,湖北垄上,AVS+,DRA,开锁,1025,1026,随州大洪山,16QAM PN420 4/5(0.8),qianying818 2023-01-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,171, , ,湖北公共新闻,AVS+,DRA,开锁,257,258,随州大洪山,16QAM PN420 4/5(0.8),qianying818 2023-01-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,171, , ,湖北综合,AVS+,DRA,开锁,769,770,随州大洪山,16QAM PN420 4/5(0.8),qianying818 2023-01-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,171, , ,湖北经视,AVS+,DRA,开锁,513,514,市区,64QAM PN420 3/5(0.6),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,171, , ,湖北卫视,AVS+,DRA,开锁,1537,1538,市区,64QAM PN420 3/5(0.6),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,171, , ,湖北垄上,AVS+,DRA,开锁,1025,1026,市区,64QAM PN420 3/5(0.6),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,171, , ,湖北公共新闻,AVS+,DRA,开锁,257,258,市区,64QAM PN420 3/5(0.6),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,171, , ,湖北综合,AVS+,DRA,开锁,769,770,市区,64QAM PN420 3/5(0.6),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,171, , ,随州综合,AVS+,DRA,开锁,35,36,市区,64QAM PN420 3/5(0.6),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,171, , ,随州农村,AVS+,DRA,开锁,1284,1285,市区,64QAM PN420 3/5(0.6),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,482, , ,湖北经视,AVS+,DRA,开锁,513,514,市区,64QAM PN420 3/5(0.6),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
