index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,195, , ,宿豫综合高清频道,AVS+,DRA,开锁, , ,宿豫,16QAM PN945 4/5（0.8）,pengzhi365 2024-01-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,195, , ,宿豫综合,AVS+,DRA,开锁, , ,宿豫,16QAM PN945 4/5（0.8）,pengzhi365 2024-01-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,219, , ,泗洪综合,AVS+,DRA,开锁, , ,泗洪, ,894578968 pengzhi365 2023-07-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,522, , ,中央电视台农业农村频道,AVS+,DRA,开锁,3071,3072,市区 沭阳 泗阳 泗洪, ,小二上菜 2022-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,522, , ,[中央电视台纪录频道](http://www.thmz.com/),AVS+,DRA,开锁,3091,3092,市区 沭阳 泗阳 泗洪, ,小二上菜 2022-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,522, , ,中央电视台戏曲频道,AVS+,DRA,开锁,3111,3112,市区 沭阳 泗阳 泗洪, ,小二上菜 2022-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,522, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,3061,3062,市区 沭阳 泗阳 泗洪, ,小二上菜 2022-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,530, , ,宿迁综合,AVS+,DRA,开锁, , ,宿迁,16QAM PN945 4/5（0.8）,pengzhi365 2024-01-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,530, , ,宿迁公共,AVS+,DRA,开锁, , ,宿迁,16QAM PN945 4/5（0.8）,pengzhi365 2024-01-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,538, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,3011,3012,市区 沭阳 泗阳 泗洪, ,小二上菜 2022-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
