index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,211, , ,砀山新闻综合,AVS+,DRA,开锁,1537,1538,砀山县,64QAM PN420 4/5(0.8),20190131 2023-03-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,211, , ,砀山经济文化,AVS+,DRA,开锁,1540,1541,砀山县,64QAM PN420 4/5(0.8),20190131 2023-03-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,211, , ,安徽卫视,AVS+,DRA,开锁, , ,砀山县,64QAM PN420 4/5(0.8),20190131 2023-03-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474, , ,灵璧新闻综合,AVS+,DRA,开锁, , ,灵璧, ,494855837 2023-06-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474, , ,灵璧文旅经济,AVS+,DRA,开锁, , ,灵璧, ,494855837 2023-06-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,474, , ,安徽卫视,AVS+,DRA,开锁, , ,灵璧, ,494855837 2023-06-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,482,水平, ,福建东南卫视,AVS+,DRA,开锁, , ,乾山发射台, ,龙行天下 2022-11-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,482,水平, ,湖北卫视,AVS+,DRA,开锁, , ,乾山发射台, ,龙行天下 2022-11-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,482,水平, ,浙江卫视,AVS+,DRA,开锁, , ,乾山发射台, ,龙行天下 2022-11-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,482,水平, ,深圳卫视,AVS+,DRA,开锁, , ,乾山发射台, ,龙行天下 2022-11-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,482,水平, ,江苏卫视,AVS+,DRA,开锁, , ,乾山发射台, ,龙行天下 2022-11-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,482,水平, ,广东卫视,AVS+,DRA,开锁, , ,乾山发射台, ,龙行天下 2022-11-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,482,水平, ,湖南卫视,AVS+,DRA,开锁, , ,乾山发射台, ,龙行天下 2022-11-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,482,水平, ,宿州新闻,AVS+,DRA,开锁, , ,乾山发射台, ,龙行天下 2022-11-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,482,水平, ,宿州公共,AVS+,DRA,开锁, , ,乾山发射台, ,龙行天下 2022-11-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,482,水平, ,宿州科教,AVS+,DRA,开锁, , ,乾山发射台, ,龙行天下 2022-11-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,490, , ,萧县新闻综合,AVS+,DRA,开锁,769,700,萧县,16QAM PN420 4/5(0.8),sunzhongjina 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,490, , ,萧县经济生活,AVS+,DRA,开锁,772,773,萧县,16QAM PN420 4/5(0.8),sunzhongjina 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,506, , ,安徽卫视,AVS+,DRA,开锁, , ,泗县屏山, ,半夏的回忆2024-02-06 泗县老魏,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,506, , ,安徽经济生活,AVS+,DRA,开锁, , ,泗县屏山, ,半夏的回忆2024-02-06 泗县老魏,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,506, , ,安徽影视,AVS+,DRA,开锁, , ,泗县屏山, ,半夏的回忆2024-02-06 泗县老魏,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,506, , ,安徽综艺体育,AVS+,DRA,开锁, , ,泗县屏山, ,半夏的回忆2024-02-06 泗县老魏,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,506, , ,安徽公共,AVS+,DRA,开锁, , ,泗县屏山, ,半夏的回忆2024-02-06 泗县老魏,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,506, , ,安徽农业科教,AVS+,DRA,开锁, , ,泗县屏山, ,半夏的回忆2024-02-06 泗县老魏,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
