index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187, ,1,太仓综合,AVS+,DRA,开锁,257,258, ,16QAM PN945 4/5(0.8),aa3390 2023-02-10,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,187, ,101,昆山新闻综合,AVS+,DRA,开锁,35,36, ,16QAM PN945 4/5(0.8),aa3390 2023-02-10,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,219, , , , , , , , ,吴江, ,feixiangok 2022-10-17,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,490, , ,苏州移动电视,AVS+,MPEG-1,开锁,772,773,苏州东吴塔,4QAM PN420 3/5(0.6),ralf0724 2018-07-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,490, , ,苏州生活资讯,AVS+,MPEG-1,开锁,769,770,苏州东吴塔,4QAM PN420 3/5(0.6),ralf0724 2018-07-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,490, , ,苏州移动电视,AVS+,MPEG-1,开锁,257,258,苏州东吴塔,4QAM PN420 3/5(0.6),ralf0724 2018-07-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,506, , ,吴江一套,AVS+,MPEG-1,开锁,6011,6012,吴江,64QAM PN420 4/5(0.8),zhang yaochun 2023-10-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,506,垂直, ,常熟城市移动电视,AVS+,MPEG-1,开锁,513,769,常熟,16QAM PN945 2/5(0.4),清风徐徐67 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,506,垂直, ,常熟新闻综合,AVS+,MPEG-1,开锁,514,770,常熟,16QAM PN945 2/5(0.4),清风徐徐67 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,506,垂直, ,应急广播,MPEG-2,MPEG-1,开锁,1002,1001,常熟,16QAM PN945 2/5(0.4),清风徐徐67 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522,水平, ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,张家港, ,544362818 2017-09-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,522,水平, ,中央电视台记录频道,AVS+,DRA,开锁, , ,张家港, ,544362818 2017-09-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,522,水平, ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,张家港, ,544362818 2017-09-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,522,水平, ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,张家港, ,544362818 2017-09-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,522,水平, ,【江苏影视 黑屏】,AVS+,DRA,开锁, , ,张家港, ,544362818 2017-09-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,522,水平, ,【江苏体育 黑屏】,AVS+,DRA,开锁, , ,张家港, ,544362818 2017-09-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,522,水平, ,苏州三套,AVS+,DRA,开锁, , ,张家港, ,544362818 2017-09-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,522,水平, ,苏州五套,AVS+,DRA,开锁, , ,张家港, ,544362818 2017-09-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,522,水平, ,张家港一套,AVS+,DRA,开锁, , ,张家港, ,544362818 2017-09-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,538, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,3011,3012,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,538, , ,中央电视台财经频道,AVS+,DRA,开锁,3021,3022,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,538, , ,中央电视台中文国际频道,AVS+,DRA,开锁,3041,3042,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,538, , ,中央电视台科教频道,AVS+,DRA,开锁,3101,3102,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,538, , ,中央电视台社会与法频道,AVS+,DRA,开锁,3121,3122,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,538, , ,中央电视台新闻频道,AVS+,DRA,开锁,3131,3132,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,538, , ,中国之声, ,MPEG-1,开锁, ,730,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,538, , ,经济之声, ,MPEG-1,开锁, ,740,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,538, , ,音乐之声, ,MPEG-1,开锁, ,750,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,538, , ,经典音乐广播, ,MPEG-1,开锁, ,760,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,538, , ,台海之声, ,MPEG-1,开锁, ,770,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,538, , ,神州之声, ,MPEG-1,开锁, ,780,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,538, , ,民族之声, ,MPEG-1,开锁, ,790,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,538, , ,文艺之声, ,MPEG-1,开锁, ,800,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,538, , ,老年之声, ,MPEG-1,开锁, ,810,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,538, , ,阅读之声, ,MPEG-1,开锁, ,820,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,538, , ,中国交通广播, ,MPEG-1,开锁, ,830,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,538, , ,中国乡村之声, ,MPEG-1,开锁, ,840,苏州东吴塔 昆山 吴江 太仓 常熟 张家港, ,szchipan 2023-03-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,546,水平, ,江苏卫视,AVS+,MPEG-2,开锁,4011,4012,苏州东吴塔 昆山 吴江 太仓 常熟 张家港,16QAM PN945 4/5(0.8),enjoynight 2023-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,546,水平, ,江苏城市,AVS+,MPEG-2,开锁,4031,4032,苏州东吴塔 昆山 吴江 太仓 常熟 张家港,16QAM PN945 4/5(0.8),enjoynight 2023-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,546,水平, ,江苏新闻,AVS+,MPEG-2,开锁,4051,4052,苏州东吴塔 昆山 吴江 太仓 常熟 张家港,16QAM PN945 4/5(0.8),enjoynight 2023-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
