index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,中央电视台综合频道,AVS+,DRA,开锁, , ,肥城, ,更生飞翔2017-05-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,482, , ,中央电视台财经频道,AVS+,DRA,开锁, , ,肥城, ,更生飞翔2017-05-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,482, , ,[中央电视台中文国际频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,肥城, ,更生飞翔2017-05-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,482, , ,中央电视台科教频道,AVS+,DRA,开锁, , ,肥城, ,更生飞翔2017-05-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,482, , ,中央电视台社会与法频道,AVS+,DRA,开锁, , ,肥城, ,更生飞翔2017-05-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,482, , ,[中央电视台新闻频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,肥城, ,更生飞翔2017-05-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,482, , ,中央电视台少儿频道,AVS+,DRA,开锁, , ,肥城, ,更生飞翔2017-05-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,482, , ,中央电视台音乐频道,AVS+,DRA,开锁, , ,肥城, ,更生飞翔2017-05-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,482, , ,导视,AVS+,DRA,开锁, , ,肥城, ,更生飞翔2017-05-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,482, , ,山东人民广播电台, ,MPEG-1,开锁, , ,肥城, ,更生飞翔2017-05-27,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,482, , ,山东广播经济频道, ,MPEG-1,开锁, , ,肥城, ,更生飞翔2017-05-27,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,482, , ,山东广播女主播频道, ,MPEG-1,开锁, , ,肥城, ,更生飞翔2017-05-27,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,482, , ,山东广播生活频道, ,MPEG-1,开锁, , ,肥城, ,更生飞翔2017-05-27,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,482, , ,中央电视台综合频道,AVS+,DRA,开锁, , ,东平县, ,zf2687 2017-04-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,482, , ,中央电视台财经频道,AVS+,DRA,开锁, , ,东平县, ,zf2687 2017-04-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,482, , ,[中央电视台中文国际频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,东平县, ,zf2687 2017-04-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,482, , ,中央电视台科教频道,AVS+,DRA,开锁, , ,东平县, ,zf2687 2017-04-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,482, , ,中央电视台社会与法频道,AVS+,DRA,开锁, , ,东平县, ,zf2687 2017-04-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,482, , ,[中央电视台新闻频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,东平县, ,zf2687 2017-04-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,482, , ,中央电视台少儿频道,AVS+,DRA,开锁, , ,东平县, ,zf2687 2017-04-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,482, , ,中央电视台音乐频道,AVS+,DRA,开锁, , ,东平县, ,zf2687 2017-04-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,482, , ,导视,AVS+,DRA,开锁, , ,东平县, ,zf2687 2017-04-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,482, , ,山东人民广播电台, ,MPEG-1,开锁, , ,东平县, ,zf2687 2017-04-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,482, , ,山东广播经济频道, ,MPEG-1,开锁, , ,东平县, ,zf2687 2017-04-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,482, , ,山东广播女主播频道, ,MPEG-1,开锁, , ,东平县, ,zf2687 2017-04-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,482, , ,山东广播生活频道, ,MPEG-1,开锁, , ,东平县, ,zf2687 2017-04-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,498, , ,东平新闻,AVS+,DRA,开锁, , ,东平县, ,LIGUO BING1978 2022-08-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,498, , ,东平经济生活,AVS+,DRA,开锁,130,131,东平县, ,LIGUO BING1978 2022-08-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,514,垂直, ,中央电视台综合频道,AVS+,DRA,开锁,512,650,泰山转播台 5:30～0:30,16QAM 4/5(0.8),铁锅炖大鹅 2023-12-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,514,垂直, ,中央电视台财经频道,AVS+,DRA,开锁,513,660,泰山转播台 5:30～0:30,16QAM 4/5(0.8),铁锅炖大鹅 2023-12-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
