index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,533, , ,中视高清频道,MPEG-4, ,开锁,1001,1002,DVB-T, ,zzq12345 2020-08-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,533, , ,中视新闻高清频道,MPEG-4, ,开锁,1011,1012,DVB-T, ,zzq12345 2020-08-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,533, , ,中视经典台,MPEG-4, ,开锁,1021,1022,DVB-T, ,zzq12345 2020-08-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,533, , ,中视菁采台,MPEG-4, ,开锁,1031,1032,DVB-T, ,zzq12345 2020-08-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,545, , ,公视高清频道,MPEG-4, ,开锁,2011,2012,DVB-T, ,zzq12345 2022-09-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,545, , ,公视台语台,MPEG-4, ,开锁,2021,2022,DVB-T, ,zzq12345 2022-09-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,545, , ,Taiwan Plus,MPEG-4, ,开锁, , ,DVB-T, ,zzq12345 2022-09-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,557, , ,民视,MPEG-4, ,开锁,3001,3002,DVB-T, ,zzq12345 2022-10-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,557, , ,民视第一台,MPEG-4, ,开锁,3011,3012,DVB-T, ,zzq12345 2022-10-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,557, , ,民视新闻,MPEG-4, ,开锁,3021,3022,DVB-T, ,zzq12345 2022-10-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,557, , ,民视台湾台高清频道,MPEG-4, ,开锁,3041,3042,DVB-T, ,zzq12345 2022-10-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,569, , ,公视3台高清频道,MPEG-4, ,开锁,2001,2002,DVB-T, ,嘿嘿快乐 2016-07-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,569, , ,[客家卫视高清频道](http://www.hakkatv.org.tw/),MPEG-4, ,开锁,2041,2042,DVB-T, ,嘿嘿快乐 2016-07-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,569, , ,原住民高清频道,MPEG-4, ,开锁,2051,2052,DVB-T, ,嘿嘿快乐 2016-07-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,581, , ,台视高清,MPEG-4, ,开锁,4001,4002,DVB-T, ,zzq12345 2020-10-13, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,581, , ,台视新闻高清频道,MPEG-4, ,开锁,4011,4012,DVB-T, ,zzq12345 2020-10-13, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,581, , ,台视财经 高清频道,MPEG-2, ,开锁,4021,4022,DVB-T, ,zzq12345 2020-10-13, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,581, , ,台视综合 高清频道,MPEG-2, ,开锁,4031,4032,DVB-T, ,zzq12345 2020-10-13, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,593, , ,华视高清,MPEG-4, ,开锁,5011,5012,DVB-T, ,zzq12345 2017-12-21, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,593, , ,华视教育体育文化高清频道,MPEG-4, ,开锁,5021,5022,DVB-T, ,zzq12345 2017-12-21, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,593, , ,华视新闻资讯高清频道,MPEG-4, ,开锁,5031,5032,DVB-T, ,zzq12345 2017-12-21, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,593, , ,国会频道1,MPEG-2, ,开锁,5041,5042,DVB-T, ,zzq12345 2017-12-21, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,593, , ,国会频道2,MPEG-2, ,开锁,5051,5052,DVB-T, ,zzq12345 2017-12-21, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
