index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,554, , ,中央电视台农业农村频道,AVS+,DRA, ,512,650,庙前山, ,w152341 2023-12-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,554, , ,中央电视台纪录频道,AVS+,DRA, ,513,660,庙前山, ,w152341 2023-12-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,554, , ,中央电视台戏曲频道,AVS+,DRA, ,514,670,庙前山, ,w152341 2023-12-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,554, , ,中国环球电视网新闻频道,AVS+,DRA, ,515,680,庙前山, ,w152341 2023-12-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,554, , ,山西卫视,AVS+,DRA, , , ,庙前山, ,w152341 2023-12-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,554, , ,山西黄河,AVS+,DRA, , , ,庙前山, ,w152341 2023-12-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,562, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,庙前山, ,crazylee 2023-10-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,562, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,庙前山, ,crazylee 2023-10-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,562, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,庙前山, ,crazylee 2023-10-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,562, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,庙前山, ,crazylee 2023-10-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,562, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,庙前山, ,crazylee 2023-10-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,562, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,庙前山, ,crazylee 2023-10-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,562, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,庙前山, ,crazylee 2023-10-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,562, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,庙前山, ,crazylee 2023-10-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,562, ,101,中国之声, ,MPEG-1,开锁, ,730,庙前山, ,crazylee 2023-10-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
