index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187, , ,[中央电视台综艺频道](http://www.cctv.com),AVS+,DAR,开锁, , ,滦南, ,唐山王青松2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,187, , ,[中央电视台体育频道](http://www.cctv.com),AVS+,DRA,开锁, , ,滦南, ,唐山王青松2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,187, , ,[中央电视台电影频道](http://www.cctv.com),AVS+,DRA,开锁, , ,滦南, ,唐山王青松2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,187, , ,[中央电视台电视剧频道](http://www.cctv.com),AVS+,DAR,开锁, , ,滦南, ,唐山王青松2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,187, , ,天津卫视,AVS+,DRA,开锁, , ,滦南, ,唐山王青松2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,187, , ,山东卫视,AVS+,DAR,开锁, , ,滦南, ,唐山王青松2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,187, , ,卡酷少儿,AVS+,DRA,开锁, , ,滦南, ,唐山王青松2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,187, , ,江西卫视,AVS+,DAR,开锁, , ,滦南, ,唐山王青松2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,187, , ,重庆卫视,AVS+,DAR,开锁, , ,滦南, ,唐山王青松2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,187, , ,安徽卫视,AVS+,DRA,开锁, , ,滦南, ,唐山王青松2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,187, , ,滦南综合,AVS+,DRA,开锁, , ,滦南, ,唐山王青松2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,187, , ,河北农民,AVS+,DAR,开锁, , ,滦南, ,唐山王青松2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,195, , ,河北农民,AVS+,DAR,开锁, , ,滦州, ,唐山王青松2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
