index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,195, , ,天津影视高清频道,AVS+,DRA,开锁, , ,天津广播电视塔 22:00关机, ,LJ 2023-10-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,195, , ,天津教育高清频道,AVS+,DRA,开锁,3101,3102,天津广播电视塔 22:00关机, ,LJ 2023-10-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,211, , ,滨海一套,MPEG-2,MPEG-2,开锁, , ,滨海, ,新乡原阳2023-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,211, , ,滨海二套,MPEG-2,MPEG-2,开锁, , ,滨海, ,新乡原阳2023-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,宝坻, ,唐山小刘 2022-09-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,482, , ,中国环球电视网纪录频道,AVS+,DRA,开锁, , ,宝坻, ,唐山小刘 2022-09-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,482, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,宝坻, ,唐山小刘 2022-09-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,482, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,宝坻, ,唐山小刘 2022-09-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,482, , ,宝坻台,AVS+,MPEG-1,开锁,1316,1904,宝坻, ,唐山小刘 2022-09-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,506, , ,天津卫视,AVS+,DRA,开锁,1701,1702,天津广播电视塔, ,姬丝面 2022-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,506, , ,天津文艺,AVS+,DRA,开锁,1901,1902,天津广播电视塔, ,姬丝面 2022-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,506, , ,天津新闻,AVS+,DRA,开锁,1801,1802,天津广播电视塔, ,姬丝面 2022-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,506, , ,天津影视,AVS+,DRA,开锁,2001,2002,天津广播电视塔, ,姬丝面 2022-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,506, , ,天津都市,AVS+,DRA,开锁,2101,2102,天津广播电视塔, ,姬丝面 2022-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,506, , ,天津体育,AVS+,DRA,开锁,2201,2202,天津广播电视塔, ,姬丝面 2022-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,506, , ,天津教育,AVS+,DRA,开锁,2301,2302,天津广播电视塔, ,姬丝面 2022-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,514, , ,天津卫视高清频道,AVS+,DRA,开锁, , ,天津广播电视塔 22:00关机, ,姬丝面 2022-10-26,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,514, , ,天津新闻高清频道,AVS+,DRA,开锁, , ,天津广播电视塔 22:00关机, ,姬丝面 2022-10-26,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,618,水平, ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,河西区电视转播发射台, ,钱静 2022-07-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,618,水平, ,中央电视台财经频道,AVS+,DRA,开锁,513,660,河西区电视转播发射台, ,钱静 2022-07-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,618,水平, ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,河西区电视转播发射台, ,钱静 2022-07-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,618,水平, ,中央电视台科教频道,AVS+,DRA,开锁,515,680,河西区电视转播发射台, ,钱静 2022-07-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,618,水平, ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,河西区电视转播发射台, ,钱静 2022-07-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,618,水平, ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,河西区电视转播发射台, ,钱静 2022-07-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,618,水平, ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,河西区电视转播发射台, ,钱静 2022-07-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,618,水平, ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,河西区电视转播发射台, ,钱静 2022-07-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
