index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482,水平,101,湖北卫视,AVS+,DRA,开锁, , ,天门广播电视台发射站, ,天门天线迷2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482,水平,102,湖北综合,AVS+,DRA,开锁, , ,天门广播电视台发射站, ,天门天线迷2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482,水平,201,湖南卫视,AVS+,DRA,开锁, , ,天门广播电视台发射站, ,天门天线迷2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482,水平,202,浙江卫视,AVS+,DRA,开锁, , ,天门广播电视台发射站, ,天门天线迷2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482,水平,301,湖北公共,AVS+,DRA,开锁, , ,天门广播电视台发射站, ,天门天线迷2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482,水平,302,湖北经视,AVS+,DRA,开锁, , ,天门广播电视台发射站, ,天门天线迷2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,482,水平,401,江苏卫视,AVS+,DRA,开锁, , ,天门广播电视台发射站, ,天门天线迷2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,482,水平,402,山东卫视,AVS+,DRA,开锁, , ,天门广播电视台发射站, ,天门天线迷2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,482,水平,501,安徽卫视,AVS+,DRA,开锁, , ,天门广播电视台发射站, ,天门天线迷2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,482,水平,502,湖北垄上,AVS+,DRA,开锁, , ,天门广播电视台发射站, ,天门天线迷2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
