index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,554, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,秦安, ,yff 2019-02-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,554, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,秦安, ,yff 2019-02-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,554, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,秦安, ,yff 2019-02-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,554, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,秦安, ,yff 2019-02-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,554, , ,甘肃公共,AVS+,DRA,开锁, , ,秦安, ,yff 2019-02-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,554, , ,天水新闻综合,AVS+,DRA,开锁, , ,秦安, ,yff 2019-02-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,554, , ,秦安电视台,AVS+,DRA,开锁, , ,秦安, ,yff 2019-02-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,554, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA, ,512,650,麦积, ,湘岳地面锅2018-07-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,554, , ,中央电视台财经频道,AVS+,DRA, ,513,660,麦积, ,湘岳地面锅2018-07-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,554, , ,中央电视台中文国际频道,AVS+,DRA, ,514,670,麦积, ,湘岳地面锅2018-07-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,554, , ,中央电视台科教频道,AVS+,DRA, ,515,680,麦积, ,湘岳地面锅2018-07-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,554, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA, ,516,690,麦积, ,湘岳地面锅2018-07-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,554, , ,中央电视台新闻频道,AVS+,DRA, ,517,700,麦积, ,湘岳地面锅2018-07-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,554, , ,中央电视台少儿频道,AVS+,DRA, ,518,710,麦积, ,湘岳地面锅2018-07-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,554, , ,中央电视台音乐频道,AVS+,DRA, ,519,720,麦积, ,湘岳地面锅2018-07-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,554, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,清水, ,nanzt 2018-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,554, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,清水, ,nanzt 2018-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,554, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,清水, ,nanzt 2018-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,554, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,清水, ,nanzt 2018-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,554, , ,清水新闻综合,MPEG-2,MPEG-1,开锁,601,801,清水, ,nanzt 2018-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,554, , ,天水新闻综合,MPEG-2,MPEG-1,开锁,603,803,清水, ,nanzt 2018-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
