index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,内蒙古卫视 汉语,MPEG-2,MPEG-2,开锁,511,512, , ,天涯孤鸿2016-11-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474, , ,内蒙古卫视 蒙语,MPEG-2,MPEG-2,开锁,255,256, , ,天涯孤鸿2016-11-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,490, , ,中央电视台农业农村频道,AVS+,DRA,NDS,512,650, , ,天涯孤鸿2017-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,490, , ,中央电视台纪录频道,AVS+,DRA,NDS,513,660, , ,天涯孤鸿2017-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,490, , ,中央电视台戏曲频道,AVS+,DRA,NDS,514,670, , ,天涯孤鸿2017-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,490, , ,[中国环球电视网新闻频道](http://www.cctv.com),AVS+,DRA,NDS,515,680, , ,天涯孤鸿2017-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,506, , ,中央电视台农业农村频道,AVS+,DRA,NDS,512,650, , ,天涯孤鸿2016-11-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,506, , ,中央电视台纪录频道,AVS+,DRA,NDS,513,660, , ,天涯孤鸿2016-11-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,506, , ,中央电视台戏曲频道,AVS+,DRA,NDS,514,670, , ,天涯孤鸿2016-11-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,506, , ,[中国环球电视网新闻频道](http://www.cctv.com),AVS+,DRA,NDS,515,680, , ,天涯孤鸿2016-11-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,538, , ,内蒙古卫视 汉语,AVS+,AAC,开锁,511,512, , ,天涯孤鸿2018-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,538, , ,内蒙古卫视 蒙语,AVS+,AAC,开锁,255,256, , ,天涯孤鸿2018-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,538, , ,内蒙古卫视 汉语,MPEG-4,MPEG-2,开锁,51,52, , ,天涯孤鸿2018-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,546, , ,内蒙古卫视 汉语,MPEG-2,MPEG-2,开锁,511,512,扎鲁特751台, ,天涯孤鸿2020-06-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
