index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,522, , ,义安区电视台,AVS+,DRA,开锁, , ,义安区, ,1302290023 2022-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,538, , ,铜陵新闻综合,AVS+,DRA,开锁, , , , ,1302290023 2022-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,538, , ,铜陵公共,AVS+,DRA,开锁, , , , ,1302290023 2022-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,538, , ,铜陵科教,AVS+,DRA,开锁, , , , ,1302290023 2022-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,506, , ,安徽卫视,AVS+,DRA,开锁, , ,市区, ,1302290023 2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,506, , ,安徽经济生活,AVS+,DRA,开锁, , ,市区, ,1302290023 2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,506, , ,安徽影视,AVS+,DRA,开锁, , ,市区, ,1302290023 2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,506, , ,安徽公共,AVS+,DRA,开锁, , ,市区, ,1302290023 2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,514,水平,301,中央电视台综合频道,AVS+,DRA,NDS,512,650, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,514,水平,302,中央电视台财经频道,AVS+,DRA,NDS,513,660, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,514,水平,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,514,水平,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,514,水平,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,514,水平,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,514,水平,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,514,水平,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,514,水平,101,中国之声, ,MPEG-1,开锁, ,730, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,514,水平,102,经济之声, ,MPEG-1,开锁, ,740, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,514,水平,103,音乐之声, ,MPEG-1,开锁, ,750, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,514,水平,104,经典音乐广播, ,MPEG-1,开锁, ,760, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,514,水平,105,台海之声, ,MPEG-1,开锁, ,770, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,514,水平,106,神州之声, ,MPEG-1,开锁, ,780, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,514,水平,108,民族之声, ,MPEG-1,开锁, ,790, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,514,水平,109,文艺之声, ,MPEG-1,开锁, ,800, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,514,水平,110,老年之声, ,MPEG-1,开锁, ,810, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,514,水平,112,阅读之声, ,MPEG-1,开锁, ,820, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,514,水平,115,中国交通广播, ,MPEG-1,开锁, ,830, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,514,水平,116,中国乡村之声, ,MPEG-1,开锁, ,840, ,16QAM,1302290023 2023-03-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,546, ,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,市区,700瓦,1302290023 2023-01-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,546, ,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,市区,700瓦,1302290023 2023-01-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
