index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,195,水平, ,贵州一套,AVS+,MPEG-1,开锁, , ,石阡, ,sqym 2023-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,195,水平, ,贵州二套,AVS+,MPEG-1,开锁, , ,石阡, ,sqym 2023-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,195,水平, ,贵州三套,AVS+,MPEG-1,开锁, , ,石阡, ,sqym 2023-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,195,水平, ,贵州四套,AVS+,MPEG-1,开锁, , ,石阡, ,sqym 2023-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,195,水平, ,贵州五套,AVS+,MPEG-1,开锁, , ,石阡, ,sqym 2023-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,195,水平, ,铜仁一套,AVS+,MPEG-1,开锁, , ,石阡, ,sqym 2023-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,195,水平, ,铜仁二套,AVS+,MPEG-1,开锁, , ,石阡, ,sqym 2023-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,195,水平, ,石阡一套,AVS+,MPEG-1,开锁, , ,石阡, ,sqym 2023-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,506,垂直,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,万山区 石阡 松桃,64QAM 4/5(0.8),0856tvro 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,506,垂直,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,万山区 石阡 松桃,64QAM 4/5(0.8),0856tvro 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,506,垂直,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,万山区 石阡 松桃,64QAM 4/5(0.8),0856tvro 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,506,垂直,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,万山区 石阡 松桃,64QAM 4/5(0.8),0856tvro 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
