index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490, , ,广东卫视,MPEG-2,MPEG-1,开锁, , ,鄯善县, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,490, , ,天津卫视,MPEG-2,MPEG-1,开锁, , ,鄯善县, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,490, , ,新疆电视台维语新闻综合频道,MPEG-2,MPEG-1,开锁, , ,鄯善县, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,490, , ,吐鲁番汉语综合频道,MPEG-2,MPEG-1,开锁, , ,鄯善县, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,490, , ,吐鲁番维语综合频道,MPEG-2,MPEG-1,开锁, , ,鄯善县, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,490, , ,鄯善汉语,MPEG-2,MPEG-1,开锁, , ,鄯善县, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,490, , ,鄯善维语,MPEG-2,MPEG-1,开锁, , ,鄯善县, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,506, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,506, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,506, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,506, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,506, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,506, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,506, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,506, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,506, ,101,中国之声, ,MPEG-1,开锁, ,730,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,506, ,102,经济之声, ,MPEG-1,开锁, ,740,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,506, ,103,音乐之声, ,MPEG-1,开锁, ,750,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,506, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,506, ,105,台海之声, ,MPEG-1,开锁, ,770,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,506, ,106,神州之声, ,MPEG-1,开锁, ,780,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,506, ,108,民族之声, ,MPEG-1,开锁, ,790,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,506, ,109,文艺之声, ,MPEG-1,开锁, ,800,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,506, ,110,老年之声, ,MPEG-1,开锁, ,810,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,506, ,112,阅读之声, ,MPEG-1,开锁, ,820,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,506, ,115,中国交通广播, ,MPEG-1,开锁, ,830,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,506, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,高昌区, ,烧友 2023-09-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,522, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,鄯善县, ,绿水青山2023-05-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,522, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,鄯善县, ,绿水青山2023-05-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,522, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,鄯善县, ,绿水青山2023-05-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,522, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,鄯善县, ,绿水青山2023-05-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,522, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,鄯善县, ,绿水青山2023-05-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,522, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,鄯善县, ,绿水青山2023-05-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,522, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,鄯善县, ,绿水青山2023-05-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
