index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,626, , ,海南综合,AVS+, ,开锁, , , , ,fa88 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,626, , ,海南新闻,AVS+, ,开锁, , , , ,fa88 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,626, , ,旅游卫视,AVS+, ,开锁, , , , ,fa88 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,626, , ,三沙卫视,AVS+, ,开锁, , , , ,fa88 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,626, , ,屯昌台,AVS+, ,开锁,58,59, , ,fa88 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,698, , ,海南综合,MPEG-2, ,开锁, , , , ,fa88 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,698, , ,海南新闻,MPEG-2, ,开锁, , , , ,fa88 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,698, , ,海南公共,MPEG-2, ,开锁, , , , ,fa88 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,698, , ,海南青少,MPEG-2, ,开锁, , , , ,fa88 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,698, , ,海南影视,MPEG-2, ,开锁,3051,3052, , ,fa88 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,698, , ,旅游卫视,MPEG-2, ,开锁, , , , ,fa88 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,698, , ,三沙卫视,MPEG-2, ,开锁, , , , ,fa88 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,698, , ,中央电视台综合频道,MPEG-2, ,开锁, , , , ,fa88 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,698, , ,【预备频道 彩条】,MPEG-2, ,开锁, , , , ,fa88 2022-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
