index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , , , , , , , ,诸城黄牛山转播台, ,大乖乖 2023-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482, , ,寿光蔬菜,AVS+,MPEG-1, , , ,寿光, ,夜独醉 2021-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,482, , ,中央电视台科教频道,AVS+,MPEG-1, , , ,寿光, ,夜独醉 2021-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,482, , ,中央电视台音乐频道,AVS+,MPEG-1, , , ,寿光, ,夜独醉 2021-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,482, , ,山东文旅,AVS+,MPEG-1, , , ,寿光, ,夜独醉 2021-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,482, , ,山东综艺,AVS+,MPEG-1, , , ,寿光, ,夜独醉 2021-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,482, , ,山东体育,AVS+,MPEG-1, , , ,寿光, ,夜独醉 2021-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,482, , ,山东生活,AVS+,MPEG-1, , , ,寿光, ,夜独醉 2021-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,482, , ,中央电视台综合频道,AVS+,MPEG-1, , , ,寿光, ,夜独醉 2021-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,482, , ,中央电视台财经频道,AVS+,MPEG-1, , , ,寿光, ,夜独醉 2021-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,482, , ,中央电视台中文国际频道,AVS+,MPEG-1, , , ,寿光, ,夜独醉 2021-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,482, , ,中央电视台新闻频道,AVS+,MPEG-1, , , ,寿光, ,夜独醉 2021-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,482, , ,中央电视台少儿频道,AVS+,MPEG-1, , , ,寿光, ,夜独醉 2021-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,506, , ,[【中央电视台综合频道】](http://www.thmz.com/),AVS+,MPEG1,开锁,512,650,安丘, ,260074256 2023-06-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,506, , ,【中央电视台科教频道】,AVS+,MPEG1,开锁,57,60,安丘, ,260074256 2023-06-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,506, , ,【中央电视台戏曲频道】,AVS+,MPEG1,开锁,66,69,安丘, ,260074256 2023-06-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,506, , ,[【中央电视台农业农村频道】](http://www.cctv.com/),AVS+,MPEG1,开锁,71,72,安丘, ,260074256 2023-06-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,506, , ,【山东卫视】,AVS+,MPEG1,开锁,61,62,安丘, ,260074256 2023-06-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,506, , ,[安丘新闻](http://www.dragontv.cn/),MPEG-2,MPEG-1,开锁,54,55,安丘, ,260074256 2023-06-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,506, , ,[安丘民生](http://www.ahtv.cn/),AVS+,MPEG1,开锁,73,74,安丘, ,260074256 2023-06-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,514,垂直,300,导视,AVS+,DRA,开锁,4097,4098,高密, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,514,垂直,301,中央电视台综合频道,AVS+,DRA,开锁,512,650,高密, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,514,垂直,302,[中央电视台财经频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,高密, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,514,垂直,303,[中央电视台中文国际频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,高密, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,514,垂直,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,高密, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,514,垂直,305,中央电视台社会与法频道,AVS+,DRA,开锁,516,690,高密, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,514,垂直,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,高密, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,514,垂直,307,[中央电视台少儿频道](http://www.cctv.com),AVS+,DRA,开锁,518,710,高密, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,514,垂直,308,[中央电视台音乐频道](http://www.cctv.com),AVS+,DRA,开锁,519,720,高密, ,zxl3220 2022-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,514,垂直,101,中国之声, ,MPEG-1,开锁, ,730,高密, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,514,垂直,102,经济之声, ,MPEG-1,开锁, ,740,高密, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,514,垂直,103,音乐之声, ,MPEG-1,开锁, ,750,高密, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,514,垂直,104,经典音乐广播, ,MPEG-1,开锁, ,760,高密, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,514,垂直,105,台海之声, ,MPEG-1,开锁, ,770,高密, ,zxl3220 2022-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
