index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482,垂直, ,乳山二套,AVS+,DRA,开锁, , ,乳山, ,乳山大众2023-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482,垂直, ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,乳山, ,乳山大众2023-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482,垂直, ,[中央电视台科教频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,乳山, ,乳山大众2023-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482,垂直, ,[中央电视台少儿频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,乳山, ,乳山大众2023-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482,垂直, ,[中央电视台音乐频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,乳山, ,乳山大众2023-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482,垂直, ,【威海海洋】,AVS+,DRA,开锁, , ,乳山, ,乳山大众2023-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,482,垂直, ,威海公共,AVS+,DRA,开锁, , ,乳山, ,乳山大众2023-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,482,垂直, ,威海新闻广播, , , , , ,乳山, ,乳山大众2023-08-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,482,垂直, ,威海交通广播, , , , , ,乳山, ,乳山大众2023-08-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,482,垂直, ,威海音乐广播, , , , , ,乳山, ,乳山大众2023-08-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,482,垂直, ,乳山广播, , , , , ,乳山, ,乳山大众2023-08-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,514,垂直, ,文登一套,AVS+,DRA,开锁,150,151,文登, ,威海强哥2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,514,垂直, ,【文登二套】,AVS+,DRA,开锁,160,161,文登, ,威海强哥2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,514,垂直, ,威海新闻综合,AVS+,DRA,开锁,100,101,文登, ,威海强哥2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,514,垂直, ,【威海海洋】,AVS+,DRA,开锁,120,121,文登, ,威海强哥2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,514,垂直, ,威海公共,AVS+,DRA,开锁,110,111,文登, ,威海强哥2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,514,垂直, ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,180,181,文登, ,威海强哥2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,514,垂直, ,[中央电视台科教频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,文登, ,威海强哥2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,514,垂直, ,[中央电视台少儿频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,文登, ,威海强哥2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,514,垂直, ,[中央电视台音乐频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,文登, ,威海强哥2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,522,垂直,301,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,昆嵛山, ,戸山香澄2023-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,522,垂直,302,[中央电视台财经频道](http://www.thmz.com/),AVS+,DRA,开锁,513,660,昆嵛山, ,戸山香澄2023-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,522,垂直,303,[中央电视台中文国际频道](http://www.thmz.com/),AVS+,DRA,开锁,514,670,昆嵛山, ,戸山香澄2023-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,522,垂直,304,[中央电视台科技频道](http://www.thmz.com/),AVS+,DRA,开锁,515,680,昆嵛山, ,戸山香澄2023-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,522,垂直,305,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,昆嵛山, ,戸山香澄2023-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,522,垂直,306,[中央电视台新闻频道](http://www.thmz.com/),AVS+,DRA,开锁,517,700,昆嵛山, ,戸山香澄2023-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,522,垂直,307,[中央电视台少儿频道](http://www.thmz.com/),AVS+,DRA,开锁,518,710,昆嵛山, ,戸山香澄2023-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,522,垂直,308,[中央电视台音乐频道](http://www.thmz.com/),AVS+,DRA,开锁,519,720,昆嵛山, ,戸山香澄2023-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,522,垂直,300,导视,AVS+,DRA,开锁,4097,4098,昆嵛山, ,戸山香澄2023-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,522,垂直,12001,山东综合广播, ,MPEG-1,开锁, ,2577,昆嵛山, ,戸山香澄2023-09-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,522,垂直,12002,山东经济广播, ,MPEG-1,开锁, ,2593,昆嵛山, ,戸山香澄2023-09-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,522,垂直,12003,山东文艺广播, ,MPEG-1,开锁, ,2625,昆嵛山, ,戸山香澄2023-09-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,522,垂直,12004,山东经典音乐广播, ,MPEG-1,开锁, ,2609,昆嵛山, ,戸山香澄2023-09-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,530,水平,401,[中央电视台农业农村频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,昆嵛山,16QAM PN420 4/5(0.8),戸山香澄2023-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
