index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,530, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,文昌广播电视发射台, ,下行频率 2023-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,530, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,文昌广播电视发射台, ,下行频率 2023-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,530, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,文昌广播电视发射台, ,下行频率 2023-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,530, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,文昌广播电视发射台, ,下行频率 2023-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,530, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,文昌广播电视发射台, ,下行频率 2023-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,530, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,文昌广播电视发射台, ,下行频率 2023-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,530, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,文昌广播电视发射台, ,下行频率 2023-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,530, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,文昌广播电视发射台, ,下行频率 2023-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,530, ,101,中国之声, ,MPEG-1,开锁, ,730,文昌广播电视发射台, ,下行频率 2023-10-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,530, ,102,经济之声, ,MPEG-1,开锁, ,740,文昌广播电视发射台, ,下行频率 2023-10-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
