index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,丘北, ,新乡原阳2020-10-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,490, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,丘北, ,新乡原阳2020-10-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,490, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,丘北, ,新乡原阳2020-10-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,490, , ,[中国环球电视网新闻频道](http://www.tvb.com),AVS+,DRA,开锁, , ,丘北, ,新乡原阳2020-10-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,490, , ,云南卫视,AVS+,DRA,开锁, , ,丘北, ,新乡原阳2020-10-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,490, , ,文山新闻综合,AVS+,DRA,开锁, , ,丘北, ,新乡原阳2020-10-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,490, , ,丘北电视台,AVS+,DRA,开锁, , ,丘北, ,新乡原阳2020-10-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,554, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,小左 2023-06-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,554, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区, ,小左 2023-06-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,554, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区, ,小左 2023-06-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,554, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区, ,小左 2023-06-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
