index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,浙江卫视,AVS+,DRA,开锁, , ,文成县, ,南山顶 2023-11-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474, , ,温州新闻综合,AVS+,DRA,开锁, , ,文成县, ,南山顶 2023-11-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474, , ,文成综合,AVS+,DRA,开锁, , ,文成县, ,南山顶 2023-11-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498, , ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,乐清, ,海之王子 2018-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,498, , ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,乐清, ,海之王子 2018-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,498, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,乐清, ,海之王子 2018-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,498, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,乐清, ,海之王子 2018-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,498, , ,浙江卫视,AVS+,DRA,开锁,301,302,乐清, ,海之王子 2018-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,498, , ,温州新闻综合,AVS+,DRA,开锁,401,402,乐清, ,海之王子 2018-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,498, , ,乐清新闻综合,AVS+,DRA,开锁,501,502,乐清, ,海之王子 2018-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,498, , ,乐清综合,AVS+,DRA,开锁,601,602,乐清, ,海之王子 2018-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,522, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,522, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,522, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,522, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,522, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,522, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,522, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,522, ,101,中国之声, ,MPEG-1,开锁, ,730,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,522, ,102,经济之声, ,MPEG-1,开锁, ,740,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,522, ,103,音乐之声, ,MPEG-1,开锁, ,750,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,522, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,522, ,105,台海之声, ,MPEG-1,开锁, ,770,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,522, ,106,神州之声, ,MPEG-1,开锁, ,780,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,522, ,108,民族之声, ,MPEG-1,开锁, ,790,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,522, ,109,文艺之声, ,MPEG-1,开锁, ,800,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,522, ,110,老年之声, ,MPEG-1,开锁, ,810,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,522, ,112,阅读之声, ,MPEG-1,开锁, ,820,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,522, ,115,中国交通广播, ,MPEG-1,开锁, ,830,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,522, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,永嘉,16QAM PN945 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,554,水平, ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,泰顺, ,南山顶 2017-07-30目前黑屏,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,554,水平, ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,泰顺, ,南山顶 2017-07-30目前黑屏,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,554,水平, ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,泰顺, ,南山顶 2017-07-30目前黑屏,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,554,水平, ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,泰顺, ,南山顶 2017-07-30目前黑屏,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,554,水平, ,浙江卫视,AVS+,DRA,开锁,301,302,泰顺, ,南山顶 2017-07-30目前黑屏,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,554,水平, ,温州新闻综合,AVS+,DRA,开锁,401,402,泰顺, ,南山顶 2017-07-30目前黑屏,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,554,水平, ,泰顺电视台,AVS+,DRA,开锁,501,502,泰顺, ,南山顶 2017-07-30目前黑屏,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,626, , ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,市区, ,chenxiaozhg 2017-03-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,626, , ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,市区, ,chenxiaozhg 2017-03-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,626, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,市区, ,chenxiaozhg 2017-03-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,626, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,市区, ,chenxiaozhg 2017-03-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,626, , ,浙江卫视,AVS+,DRA,开锁,301,302,市区, ,chenxiaozhg 2017-03-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,626, , ,温州新闻综合,AVS+,DRA,开锁,401,402,市区, ,chenxiaozhg 2017-03-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
44,626, , ,温州经济教育,AVS+,DRA,开锁,501,502,市区, ,chenxiaozhg 2017-03-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,634, ,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,永嘉,4QAM PN595 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
46,634, ,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,永嘉,4QAM PN595 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
47,634, ,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,永嘉,4QAM PN595 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
48,634, ,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,永嘉,4QAM PN595 4/5(0.8),郑玉鑫 2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,634,水平, ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,文成县, ,南山顶 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
50,634,水平, ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,文成县, ,南山顶 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
51,634,水平, ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,文成县, ,南山顶 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
52,634,水平, ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,文成县, ,南山顶 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
53,634,水平, ,浙江卫视,AVS+,DRA,开锁,301,302,文成县, ,南山顶 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
54,634,水平, ,温州新闻综合,AVS+,DRA,开锁,401,402,文成县, ,南山顶 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
55,634,水平, ,文成新闻综合,AVS+,DRA,开锁,501,502,文成县, ,南山顶 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
56,634,水平, ,文成党建,AVS+,DRA,开锁,601,602,文成县, ,南山顶 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
57,642, ,201,温州移动电视,AVS+,MPEG-1,开锁,513,514,市区,16QAM PN945 4/5(0.8),‪郑 锐 2023-07-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
58,642, ,301,【彩条】,AVS+,MPEG-1,开锁,519,520,市区,16QAM PN945 4/5(0.8),‪郑 锐 2023-07-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
