index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,618, , ,内蒙古卫视 汉语,AVS,DRA,开锁, , ,额济纳083发射台(阿拉善盟额济纳旗策克口岸), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,618, , ,内蒙古卫视 蒙语,AVS,DRA,开锁, , ,额济纳083发射台(阿拉善盟额济纳旗策克口岸), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,634, , ,内蒙古卫视 汉语,AVS,DRA,开锁, , ,甘其毛都082台(巴彦淖尔市乌拉特中旗甘其毛都镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,634, , ,内蒙古卫视 蒙语,AVS,DRA,开锁, , ,甘其毛都082台(巴彦淖尔市乌拉特中旗甘其毛都镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,674, , ,内蒙古卫视 汉语,AVS,DRA,开锁, , ,阿拉善右754发射台(内蒙古阿拉善右旗巴丹吉林镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,674, , ,内蒙古卫视 蒙语,AVS,DRA,开锁, , ,阿拉善右754发射台(内蒙古阿拉善右旗巴丹吉林镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,674, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,甘其毛都082台(巴彦淖尔市乌拉特中旗甘其毛都镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,674, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,甘其毛都082台(巴彦淖尔市乌拉特中旗甘其毛都镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,674, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,甘其毛都082台(巴彦淖尔市乌拉特中旗甘其毛都镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,674, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,甘其毛都082台(巴彦淖尔市乌拉特中旗甘其毛都镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,690, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,额济纳788发射台(阿拉善盟额济纳旗达来呼布镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,690, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,额济纳788发射台(阿拉善盟额济纳旗达来呼布镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,690, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,额济纳788发射台(阿拉善盟额济纳旗达来呼布镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,690, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,额济纳788发射台(阿拉善盟额济纳旗达来呼布镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,690, , ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690,额济纳788发射台(阿拉善盟额济纳旗达来呼布镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,690, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,额济纳788发射台(阿拉善盟额济纳旗达来呼布镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,690, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,额济纳788发射台(阿拉善盟额济纳旗达来呼布镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,690, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,额济纳788发射台(阿拉善盟额济纳旗达来呼布镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,698, , ,内蒙古卫视 汉语,AVS+,DRA,开锁, , ,额济纳788发射台(阿拉善盟额济纳旗达来呼布镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,698, , ,内蒙古卫视 蒙语,AVS+,DRA,开锁, , ,额济纳788发射台(阿拉善盟额济纳旗达来呼布镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,738, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,甘其毛都082台(巴彦淖尔市乌拉特中旗甘其毛都镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,738, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,甘其毛都082台(巴彦淖尔市乌拉特中旗甘其毛都镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,738, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,甘其毛都082台(巴彦淖尔市乌拉特中旗甘其毛都镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,738, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,甘其毛都082台(巴彦淖尔市乌拉特中旗甘其毛都镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,738, , ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690,甘其毛都082台(巴彦淖尔市乌拉特中旗甘其毛都镇), ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
