index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,203,水平, ,湖北经视,AVS+,DRA,开锁,105,106,龟山发射塔, ,hbtv520 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,203,水平, ,湖北垄上,AVS+,DRA,开锁,50,51,龟山发射塔, ,hbtv520 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,203,水平, ,湖北综合,AVS+,DRA,开锁,210,220,龟山发射塔, ,hbtv520 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,203,水平, ,湖北卫视,AVS+,DRA,开锁,110,120,龟山发射塔, ,hbtv520 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,203,水平, ,湖北公共新闻,AVS+,DRA,开锁,90,91,龟山发射塔, ,hbtv520 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,203,水平, ,武汉新闻综合,AVS+,DRA,开锁,770,771,龟山发射塔, ,hbtv520 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,203,水平, ,武汉电视剧,AVS+,DRA,开锁,773,774,龟山发射塔, ,hbtv520 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,211, , ,湖北经视,AVS+,DRA,开锁,105,106,新洲, ,zxm1985 2023-06-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,211, , ,湖北垄上,AVS+,DRA,开锁,50,51,新洲, ,zxm1985 2023-06-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,211, , ,湖北综合,AVS+,DRA,开锁,210,220,新洲, ,zxm1985 2023-06-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,211, , ,湖北卫视,AVS+,DRA,开锁,110,120,新洲, ,zxm1985 2023-06-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,211, , ,武汉新闻综合,AVS+,DRA,开锁,516,690,新洲, ,zxm1985 2023-06-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,211, , ,新洲电视台,AVS+,DRA,开锁,515,680,新洲, ,zxm1985 2023-06-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,498,水平, ,湖北经视,AVS+,DRA,开锁,105,106,蔡甸, ,刘学文 2022-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,498,水平, ,湖北垄上,AVS+,DRA,开锁,50,51,蔡甸, ,刘学文 2022-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,498,水平, ,湖北综合,AVS+,DRA,开锁,210,220,蔡甸, ,刘学文 2022-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,498,水平, ,湖北卫视,AVS+,DRA,开锁,110,120,蔡甸, ,刘学文 2022-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,498,水平, ,湖北公共新闻,AVS+,DRA,开锁,90,91,蔡甸, ,刘学文 2022-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
