index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,179, , ,南陵新闻综合频道,AVS+,DRA,开锁, , ,南陵县城关, ,1302290023 2023-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,179, , ,南陵电影,AVS+,DRA,开锁, , ,南陵县城关, ,1302290023 2023-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,203, ,405,安徽卫视,AVS+,DRA,开锁,1281,1282,湾沚,64QAM PN420 3/5(0.6),zhang yaochun 2023-05-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,203, ,406,安规经济,AVS+,DRA,开锁,1537,1538,湾沚,64QAM PN420 3/5(0.6),zhang yaochun 2023-05-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,203, ,407,安徽公共,AVS+,DRA,开锁,1793,1794,湾沚,64QAM PN420 3/5(0.6),zhang yaochun 2023-05-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,203, ,408,安徽影视,AVS+,DRA,开锁,2049,2050,湾沚,64QAM PN420 3/5(0.6),zhang yaochun 2023-05-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,203, ,410,湾沚综合,AVS+,DRA,开锁,4097,4098,湾沚,64QAM PN420 3/5(0.6),zhang yaochun 2023-05-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,490,垂直,1,繁昌新闻综合,AVS+,DRA,开锁,40,41,繁昌,64QAM PN420 4/5(0.8),zhang yaochun 2023-05-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,490,垂直,2,繁昌文化娱乐,AVS+,DRA,开锁,50,51,繁昌,64QAM PN420 4/5(0.8),zhang yaochun 2023-05-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,490,垂直,3,安徽影视,AVS+,DRA,开锁,60,61,繁昌,64QAM PN420 4/5(0.8),zhang yaochun 2023-05-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,490,垂直,4,中央电视台综合频道,AVS+,DRA,开锁,70,71,繁昌,64QAM PN420 4/5(0.8),zhang yaochun 2023-05-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,506, , ,安徽卫视,AVS+,DRA,开锁, , , ,16QAM PN945 4/5(0.8),半夏的回忆2020-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,506, ,503,安徽经济生活,AVS+,DRA,开锁,769,770, ,16QAM PN945 4/5(0.8),半夏的回忆2020-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,506, , ,安徽影视,AVS+,DRA,开锁, , , ,16QAM PN945 4/5(0.8),半夏的回忆2020-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,506, , ,安徽综艺体育,AVS+,DRA,开锁, , , ,16QAM PN945 4/5(0.8),半夏的回忆2020-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,506, ,505,安徽公共,AVS+,DRA,开锁,1281,1282, ,16QAM PN945 4/5(0.8),半夏的回忆2020-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,506, ,506,安徽农业科教,AVS+,DRA,开锁,1537,1538, ,16QAM PN945 4/5(0.8),半夏的回忆2020-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,514, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,戈江区 繁昌区 芜湖县 南陵县 无为市, ,zhang yaochun 2023-05-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,514, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,戈江区 繁昌区 芜湖县 南陵县 无为市, ,zhang yaochun 2023-05-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,514, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,戈江区 繁昌区 芜湖县 南陵县 无为市, ,zhang yaochun 2023-05-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,514, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,戈江区 繁昌区 芜湖县 南陵县 无为市, ,zhang yaochun 2023-05-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,514, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,戈江区 繁昌区 芜湖县 南陵县 无为市, ,zhang yaochun 2023-05-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
