index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,634, , ,中央电视台军事农业频道,AVS+,DRA,开锁,512,650, , ,新疆008电器2018-04-02, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,634, , ,中央电视台记录频道,AVS+,DRA,开锁,513,660, , ,新疆008电器2018-04-02, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,634, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670, , ,新疆008电器2018-04-02, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,634, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680, , ,新疆008电器2018-04-02, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,634, , ,五家渠电视台,AVS+,DRA,开锁, , , , ,新疆008电器2018-04-02, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,634, , ,兵团卫视,AVS+,DRA,开锁, , , , ,新疆008电器2018-04-02, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,650, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,601,701, , ,新疆008电器2018-04-02, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,650, , ,中央电视台经济频道,AVS+,DRA,开锁,602,702, , ,新疆008电器2018-04-02, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,650, , ,中央电视台中文国际频道,AVS+,DRA,开锁,604,704, , ,新疆008电器2018-04-02, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,650, , ,中央电视台科教频道,AVS+,DRA,开锁,610,710, , ,新疆008电器2018-04-02, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,650, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,612,712, , ,新疆008电器2018-04-02, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,650, , ,中央电视台新闻频道,AVS+,DRA,开锁,613,713, , ,新疆008电器2018-04-02, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,650, , ,中央电视台少儿频道,AVS+,DRA,开锁,614,714, , ,新疆008电器2018-04-02, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,650, , ,中央电视台音乐频道,AVS+,DRA,开锁,615,715, , ,新疆008电器2018-04-02, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
