index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,四子王旗电视台,MPEG-2,MPEG-1,开锁,33,34,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482, , ,【乌兰察布新闻综合】,MPEG-2,MPEG-1,开锁,36,37,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482, , ,【乌兰察布经济生活】,MPEG-2,MPEG-1,开锁,39,40,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482, , ,【乌兰察布生活频道】,MPEG-2,MPEG-1,开锁,42,43,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482, , ,【黑屏】,MPEG-2,MPEG-1,开锁,45,46,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482, , ,【黑屏】,MPEG-2,MPEG-1,开锁,48,49,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,482, , ,【黑屏】,MPEG-2,MPEG-1,开锁,51,52,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,482, , ,【黑屏】,MPEG-2,MPEG-1,开锁,54,55,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,482, , ,【黑屏】,MPEG-2,MPEG-1,开锁,906,905,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,490, , ,内蒙古卫视 汉语, , ,开锁, , ,察右后旗, ,tieshagai 2018-07-13, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,490, , ,内蒙古卫视 蒙语, , ,开锁, , ,察右后旗, ,tieshagai 2018-07-13, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,498, , ,内蒙古卫视 汉语, , ,开锁, , ,察右中旗科布尔, ,tieshagai 2018-05-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,498, , ,内蒙古卫视 蒙语, , ,开锁, , ,察右中旗科布尔, ,tieshagai 2018-05-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,498, , ,【预备频道】, , ,开锁, , ,察右中旗科布尔, ,tieshagai 2018-05-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,498, , ,【预备频道】, , ,开锁, , ,察右中旗科布尔, ,tieshagai 2018-05-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,506,水平, ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,781台（四子王旗王府二队）, ,tieshagai 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,506,水平, ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,781台（四子王旗王府二队）, ,tieshagai 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,506,水平, ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,781台（四子王旗王府二队）, ,tieshagai 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,506,水平, ,[中国环球电视网新闻频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,781台（四子王旗王府二队）, ,tieshagai 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,522, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,522, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,522, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,522, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,522, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,522, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,522, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,522, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,522, , ,[中央电视台综合频道](http://www.thmz.com/),MPEG-2, ,开锁, , ,兴和县, ,江山如此多娇 2018-05-14, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,522, , ,中央电视台综艺频道,MPEG-2, ,开锁, , ,兴和县, ,江山如此多娇 2018-05-14, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,522, , ,中央电视台体育频道,MPEG-2, ,开锁, , ,兴和县, ,江山如此多娇 2018-05-14, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,522, , ,中央电视台电影频道,MPEG-2, ,开锁, , ,兴和县, ,江山如此多娇 2018-05-14, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,522, , ,[中央电视台电视剧频道](http://www.thmz.com/),MPEG-2, ,开锁, , ,兴和县, ,江山如此多娇 2018-05-14, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,522, , ,内蒙古电视台新闻综合频道,MPEG-2, ,开锁, , ,兴和县, ,江山如此多娇 2018-05-14, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,522, , ,乌兰察布市电视台新闻综合频道,MPEG-2, ,开锁, , ,兴和县, ,江山如此多娇 2018-05-14, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,522, , ,兴和电视台,MPEG-2, ,开锁, , ,兴和县, ,江山如此多娇 2018-05-14, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,530, , ,内蒙古卫视 汉语,AVS+,MPEG-1,开锁, , ,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,530, , ,内蒙古卫视 蒙语,AVS+,MPEG-1,开锁, , ,078台（四子王旗乌兰花镇）, ,tieshagai 2024-02-17, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,538, , ,乌兰察布新闻综合,MPEG-2,MPEG-1,开锁, , ,乌兰察布察右后旗当郎忽洞, ,tieshagai 2018-07-15, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,538, , ,乌兰察布经济生活,MPEG-2,MPEG-1,开锁, , ,乌兰察布察右后旗当郎忽洞, ,tieshagai 2018-07-15, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,538, , ,察右后旗电视台,MPEG-2,MPEG-1,开锁, , ,乌兰察布察右后旗当郎忽洞, ,tieshagai 2018-07-15, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,538, , ,【预备频道 黑屏】,MPEG-2,MPEG-1,开锁, , ,乌兰察布察右后旗当郎忽洞, ,tieshagai 2018-07-15, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,538, , ,【预备频道 黑屏】,MPEG-2,MPEG-1,开锁, , ,乌兰察布察右后旗当郎忽洞, ,tieshagai 2018-07-15, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,546, , ,内蒙古卫视 汉语,AVS+,MPEG-1,开锁, , ,乌兰察布市发射台, ,亢奋青年 2018-03-26, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,546, , ,内蒙古卫视 蒙语,AVS+,MPEG-1,开锁, , ,乌兰察布市发射台, ,亢奋青年 2018-03-26, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
44,610, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,集宁区, ,江山如此多娇 2017-08-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,610, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,集宁区, ,江山如此多娇 2017-08-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,610, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,集宁区, ,江山如此多娇 2017-08-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,610, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,集宁区, ,江山如此多娇 2017-08-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
48,610, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,集宁区, ,江山如此多娇 2017-08-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
49,610, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,集宁区, ,江山如此多娇 2017-08-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
50,610, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,集宁区, ,江山如此多娇 2017-08-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
