index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,546, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁, , , , ,cxzidtmb 2017-05-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,546, , ,中央电视台军事农业频道,MPEG-2,MPEG-1,开锁, , , , ,cxzidtmb 2017-05-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,610, , ,乌鲁木齐新闻综合台,MPEG-2,MPEG-1,开锁, , , , ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,610, , ,乌鲁木齐维语综合台,MPEG-2,MPEG-1,开锁, , , , ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,610, , ,乌鲁木齐影视台,MPEG-2,MPEG-1,开锁, , , , ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,610, , ,乌鲁木齐都市生活台,MPEG-2,MPEG-1,开锁, , , , ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,610, , ,乌鲁木齐旅游台,MPEG-2,MPEG-1,开锁, , , , ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,610, , ,乌鲁木齐妇女儿童台,MPEG-2,MPEG-1,开锁, , , , ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,610, , ,新疆卫视2台,MPEG-2,MPEG-1,开锁, , , , ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,610, , ,新疆卫视3台,MPEG-2,MPEG-1,开锁, , , , ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,722, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,MPEG-1, , , ,红山台基站 石人沟基站, ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,722, , ,中央电视台综艺频道,AVS+,MPEG-1, , , ,红山台基站 石人沟基站, ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,722, , ,中央电视台体育频道,AVS+,MPEG-1, , , ,红山台基站 石人沟基站, ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,722, , ,中央电视台电影频道,AVS+,MPEG-1, , , ,红山台基站 石人沟基站, ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,722, , ,[中央电视台电视剧频道](http://www.thmz.com/),AVS+,MPEG-1, , , ,红山台基站 石人沟基站, ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,722, , ,中央电视台新闻频道,AVS+,MPEG-1,开锁, , ,红山台基站 石人沟基站, ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,722, , ,湖南卫视,AVS+,MPEG-1, , , ,红山台基站 石人沟基站, ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,722, , ,江苏卫视,AVS+,MPEG-1, , , ,红山台基站 石人沟基站, ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,722, , ,浙江卫视,AVS+,MPEG-1, , , ,红山台基站 石人沟基站, ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,722, , ,北京卫视,AVS+,MPEG-1, , , ,红山台基站 石人沟基站, ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,722, , ,河南卫视,AVS+,MPEG-1, , , ,红山台基站 石人沟基站, ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,722, , ,乌鲁木齐新闻综合台,AVS+,MPEG-1,开锁, , ,红山台基站 石人沟基站, ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,722, , ,乌鲁木齐维语综合台,AVS+,MPEG-1,开锁, , ,红山台基站 石人沟基站, ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,722, , ,移动公交,AVS+,MPEG-1,开锁, , ,红山台基站 石人沟基站, ,cxzidtmb 2017-03-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
