index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,738, , ,[中央电视台军事农业频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,民勤县, ,梦里也寻星2016-08-13, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,738, , ,[中央电视台记录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,民勤县, ,梦里也寻星2016-08-13, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,738, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,民勤县, ,梦里也寻星2016-08-13, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,738, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,民勤县, ,梦里也寻星2016-08-13, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,738, , ,甘肃公共,AVS+,DRA,开锁, , ,凉州区, ,闲云淡雨2018-05-15, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,738, , ,武威综合,AVS+,DRA,开锁, , ,凉州区, ,闲云淡雨2018-05-15, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,738, , ,古浪电视台,AVS+,DRA,开锁, , ,凉州区, ,闲云淡雨2018-05-15, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,738, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,凉州区, ,闲云淡雨2018-05-15, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,738, , ,永昌台,MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-05-15, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,738, , ,金昌综合,MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-05-15, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,738, , ,金昌公共,MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-05-15, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,738, , ,[中央电视台军事农业频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,古浪县, ,叫子弹再飞卡2018-06-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,738, , ,[中央电视台记录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,古浪县, ,叫子弹再飞卡2018-06-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,738, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,古浪县, ,叫子弹再飞卡2018-06-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,738, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,古浪县, ,叫子弹再飞卡2018-06-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,738, , ,【预备频道】,MPEG-2, ,开锁, , ,古浪县, ,叫子弹再飞卡2018-06-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,738, , ,【预备频道】,MPEG-2, ,开锁, , ,古浪县, ,叫子弹再飞卡2018-06-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,778, , ,[中央电视台综合频道](http://www.thmz.com/),MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-10-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,778, , ,中央电视台经济频道,MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-10-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,778, , ,中央电视台中文国际频道,MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-10-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,778, , ,中央电视台军事农业频道,MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-10-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,778, , ,[中央电视台 纪录频道](http://www.thmz.com/),MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-10-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,778, , ,中央电视台科教频道,MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-10-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,778, , ,[中央电视台 戏曲频道](http://www.thmz.com/),MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-10-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,778, , ,[中央电视台社会与法频道](http://www.thmz.com/),MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-10-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,778, , ,中央电视台新闻频道,MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-10-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,778, , ,[中央电视台少儿频道](http://www.thmz.com/),MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-10-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,778, , ,中央电视台音乐频道,MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-10-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,778, , ,甘肃卫视,MPEG-2,DRA,开锁, , ,凉州区, ,闲云淡雨2018-10-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,778, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,民勤县, ,梦里也寻星2016-08-13, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,778, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,民勤县, ,梦里也寻星2016-08-13, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
