index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,211, , ,吴忠综合,AVS+,MPEG-1,开锁, , ,同心县, ,新乡原阳2022-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,211, , ,吴忠公共,AVS+,MPEG-1,开锁, , ,同心县, ,新乡原阳2022-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,211, , ,宁夏公共,AVS+,MPEG-1,开锁, , ,同心县, ,新乡原阳2022-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,211, , ,同心电视台,AVS+,MPEG-1,开锁, , ,同心县, ,新乡原阳2022-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,490, , ,吴忠综合,AVS+,MPEG-1,开锁, , ,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,490, , ,吴忠公共,AVS+,MPEG-1,开锁, , ,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,490, , ,宁夏公共,AVS+,MPEG-1,开锁, , ,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,490, , ,盐池电视台,AVS+,MPEG-1,开锁, , ,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,546, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,546, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,546, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,546, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,546, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,546, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,546, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,546, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,546, ,101,中国之声, ,MPEG-1,开锁, ,730,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,546, ,102,经济之声, ,MPEG-1,开锁, ,740,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,546, ,103,音乐之声, ,MPEG-1,开锁, ,750,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,546, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,546, ,105,台海之声, ,MPEG-1,开锁, ,770,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,546, ,106,神州之声, ,MPEG-1,开锁, ,780,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,546, ,108,民族之声, ,MPEG-1,开锁, ,790,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,546, ,109,文艺之声, ,MPEG-1,开锁, ,800,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,546, ,110,老年之声, ,MPEG-1,开锁, ,810,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,546, ,112,阅读之声, ,MPEG-1,开锁, ,820,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,546, ,115,中国交通广播, ,MPEG-1,开锁, ,830,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,546, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,634, ,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,634, ,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,634, ,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,634, ,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,盐池, ,刘学文 2022-07-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,634, ,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,同心县, ,新乡原阳2022-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,634, ,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,同心县, ,新乡原阳2022-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,634, ,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,同心县, ,新乡原阳2022-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,634, ,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,同心县, ,新乡原阳2022-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,642, , ,吴忠综合,AVS+,MPEG-1,开锁, , ,市区, ,南华山 2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,642, , ,吴忠公共,AVS+,MPEG-1,开锁, , ,市区, ,南华山 2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,642, , ,宁夏公共,AVS+,MPEG-1,开锁, , ,市区, ,南华山 2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
