index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,203,垂直, ,广西卫视,AVS+,DRA,开锁, , ,蒙山, ,天使的神话 2023-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,203,垂直, ,蒙山台,AVS+,DRA,开锁, , ,蒙山, ,天使的神话 2023-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,203,垂直, ,广西新闻,AVS+,DRA,开锁, , ,蒙山, ,天使的神话 2023-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,203,垂直, ,梧州新闻综合,AVS+,DRA,开锁, , ,蒙山, ,天使的神话 2023-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,211,垂直,1,广西卫视,AVS+,DRA,开锁,1011,1013,藤县,32QAM 4/5(0.8),天使的神话2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,211,垂直,100,藤县综合,AVS+,DRA,开锁,100,101,藤县,32QAM 4/5(0.8),天使的神话2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,211,垂直,125,广西新闻,AVS+,DRA,开锁,1061,1063,藤县,32QAM 4/5(0.8),天使的神话2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,211,垂直,950,梧州新闻综合,AVS+,DRA,开锁,3111,3113,藤县,32QAM 4/5(0.8),天使的神话2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,482,水平, ,广西卫视,AVS+,DRA,开锁,1011,1013,岑溪大山顶, ,白子画 2022-12-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,482,水平, ,广西新闻,AVS+,DRA,开锁,1061,1063,岑溪大山顶, ,白子画 2022-12-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,482,水平, ,梧州新闻综合,AVS+,DRA,开锁,3111,3113,岑溪大山顶, ,白子画 2022-12-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,482,水平, ,岑溪台,AVS+,DRA,开锁, , ,岑溪大山顶, ,白子画 2022-12-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,498,水平, ,广西卫视,AVS+,DRA,开锁,1011,1013,苍梧三县顶, ,天使的神话2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,498,水平, ,广西新闻,AVS+,DRA,开锁,1061,1063,苍梧三县顶, ,天使的神话2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,498,水平, ,梧州新闻综合,AVS+,DRA,开锁,3111,3113,苍梧三县顶, ,天使的神话2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,498,水平, ,苍梧台,AVS+,DRA,开锁, , ,苍梧三县顶, ,天使的神话2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
